Country,continent,Iso code,Admin-1 unit,rural_pfpr_2024,urban_pfpr_2024,weighted_prev,pv_present,population_rural,population_urban,population_total
Cote d'Ivoire,Africa,CIV,Vallee_du_Bandama,0.316310029,0.16057515,0.242742417,no,922011,825513,1747524
Cote d'Ivoire,Africa,CIV,Woroba,0.395940575,0.352387826,0.390230027,no,945540,142686,1088226
Cote d'Ivoire,Africa,CIV,Montagnes,0.374728779,0.33657724,0.35446045,no,1478286,1675448,3153734
Cote d'Ivoire,Africa,CIV,Lacs,0.338121915,0.28685409,0.326200153,no,1206168,365466,1571634
Cote d'Ivoire,Africa,CIV,Sassandra_Marahoue,0.428515631,0.326121071,0.376660081,no,1500425,1539511,3039936
Cote d'Ivoire,Africa,CIV,Comoe,0.294946088,0.23688765,0.268762524,no,818290,672183,1490473
Cote d'Ivoire,Africa,CIV,Yamoussoukro,0.272572007,0.186530678,0.209238662,no,121105,337766,458871
Cote d'Ivoire,Africa,CIV,Goh_Djiboua,0.29306568,0.240937762,0.2662628,no,1009272,1068168,2077440
Cote d'Ivoire,Africa,CIV,Lagunes,0.275074896,0.20825939,0.249093267,no,1071393,681702,1753095
Cote d'Ivoire,Africa,CIV,Bas_Sassandra,0.342737172,0.293639521,0.321468228,no,1665044,1272561,2937605
Cote d'Ivoire,Africa,CIV,Abidjan,0.250704148,0.164403624,0.165484692,no,78414,6181296,6259710
Cameroon,Africa,CMR,Extreme_Nord,0.228651426,0.240270321,0.234978594,no,2227585,2663461,4891046
Cameroon,Africa,CMR,Nord,0.241250393,0.248729751,0.244113175,no,1955449,1212592,3168041
Cameroon,Africa,CMR,Adamaoua,0.258480178,0.199821361,0.252301437,no,1289931,151870,1441801
Cameroon,Africa,CMR,Nord_Ouest,0.199025703,0.132988091,0.158031197,no,918265,1503161,2421426
Cameroon,Africa,CMR,Sud_Ouest,0.260401213,0.184326042,0.214540683,no,823350,1249701,2073051
Cameroon,Africa,CMR,Ouest,0.192874214,0.132708967,0.15511246,no,826482,1393060,2219542
Cameroon,Africa,CMR,Centre,0.3915904,0.178310849,0.220835834,no,1211971,4866541,6078512
Cameroon,Africa,CMR,Est,0.402253509,0.243046501,0.39502742,no,1003638,47719,1051357
Cameroon,Africa,CMR,Littoral,0.284708605,0.172845329,0.18441365,no,488089,4231631,4719720
Cameroon,Africa,CMR,Sud,0.449884098,0.316224259,0.440800399,no,888135,64760,952895
DR Congo,Africa,COD,Bas_Uele,0.458706667,0.372321716,0.452015461,no,1224204,102786,1326990
DR Congo,Africa,COD,Haut_Uele,0.466285311,0.406689021,0.458279801,no,1621510,251615,1873125
DR Congo,Africa,COD,Nord_Ubangi,0.466844939,0.413023624,0.45785773,no,1156286,231783,1388069
DR Congo,Africa,COD,Sud_Ubangi,0.491757835,0.451032134,0.48230352,no,2061567,623276,2684843
DR Congo,Africa,COD,Ituri,0.356402001,0.353327404,0.354478128,no,2150869,3595997,5746866
DR Congo,Africa,COD,Mongala,0.446505855,0.35792604,0.436405043,no,1784306,229653,2013959
DR Congo,Africa,COD,Tshopo,0.497272369,0.386260548,0.463330952,no,2193908,966186,3160094
DR Congo,Africa,COD,Equateur,0.44107829,0.29441314,0.408133675,no,1649956,477989,2127945
DR Congo,Africa,COD,Tshuapa,0.612876265,0.512687964,0.608655839,no,1403400,61718,1465118
DR Congo,Africa,COD,Nord_Kivu,0.190024623,0.12763674,0.142542989,no,2092571,6665573,8758144
DR Congo,Africa,COD,Maniema,0.300949425,0.198177876,0.279138868,no,2139205,576293,2715498
DR Congo,Africa,COD,Mai_Ndombe,0.358435056,0.276491644,0.351525139,no,1424839,131215,1556054
DR Congo,Africa,COD,Sud_Kivu,0.25028976,0.174785491,0.200728826,no,1992153,3805716,5797869
DR Congo,Africa,COD,Sankuru,0.261852097,0.187522382,0.258232048,no,168275,8615,176890
DR Congo,Africa,COD,Kasai,0.401202779,0.397442354,0.399768894,no,3488935,2150286,5639221
DR Congo,Africa,COD,Kwilu,0.437765455,0.349935811,0.415884702,no,2973596,986590,3960186
DR Congo,Africa,COD,Kinshasa,0.301099768,0.13964275,0.143916332,no,198076,7285286,7483362
DR Congo,Africa,COD,Kasai_Central,0.429305433,0.39580817,0.411262189,no,3050886,3562043,6612929
DR Congo,Africa,COD,Kwango,0.404601715,0.389527993,0.403245294,no,1868928,184807,2053735
DR Congo,Africa,COD,Kongo_Central,0.308153266,0.242108083,0.289088493,no,1930096,783238,2713334
DR Congo,Africa,COD,Lomami,0.406836143,0.398658389,0.403863207,no,2373476,1355704,3729180
DR Congo,Africa,COD,Tanganyika,0.326373432,0.295069182,0.318748049,no,3723013,1198934,4921947
DR Congo,Africa,COD,Kasai_Oriental,0.297685413,0.179130493,0.192923091,no,625914,4754159,5380073
DR Congo,Africa,COD,Haut_Lomami,0.321238316,0.285526058,0.307045923,no,4333133,2857710,7190843
DR Congo,Africa,COD,Lualaba,0.394205977,0.317034075,0.379363136,no,2857505,680477,3537982
DR Congo,Africa,COD,Haut_Katanga,0.312738345,0.188950687,0.232443779,no,3480056,6424689,9904745
Congo-Brazzaville,Africa,COG,Likouala,0.383731614,0.312206715,0.332338766,no,487236,1243810,1731046
Congo-Brazzaville,Africa,COG,Sangha,0.319949648,0.20968373,0.31793988,no,161972,3007,164979
Congo-Brazzaville,Africa,COG,Cuvette_Ouest,0.300988196,0.290277307,0.299618696,no,218450,32026,250476
Congo-Brazzaville,Africa,COG,Cuvette,0.235197929,0.211713872,0.234860011,no,249121,3637,252758
Congo-Brazzaville,Africa,COG,Plateaux,0.179764413,0.179764413,0.179764413,no,165340,0,165340
Congo-Brazzaville,Africa,COG,Niari,0.182449104,0.146326245,0.180385891,no,209867,12713,222580
Congo-Brazzaville,Africa,COG,Lekoumou,0.162174112,0.1468028,0.158956182,no,188695,49962,238657
Congo-Brazzaville,Africa,COG,Pool,0.167074345,0.140753931,0.141490972,no,28628,993704,1022332
Congo-Brazzaville,Africa,COG,Bouenza,0.148665728,0.147454967,0.147660717,no,69014,337108,406122
Congo-Brazzaville,Africa,COG,Kouilou,0.201631159,0.143522274,0.152207158,no,96532,549345,645877
Congo-Brazzaville,Africa,COG,Brazzaville,0,0.109202894,0.109202894,no,0,926312,926312
Congo-Brazzaville,Africa,COG,Pointe_Noire,0,0.112976385,0.112976385,no,0,148861,148861
Gabon,Africa,GAB,Wouleu_Ntem,0.300114311,0.236909534,0.244183942,no,30753,236449,267202
Gabon,Africa,GAB,Ogooue_Ivindo,0.318347912,0.296559531,0.309631132,no,43965,29318,73283
Gabon,Africa,GAB,Estuaire,0.247488405,0.132783807,0.134348535,no,13028,942008,955036
Gabon,Africa,GAB,Ogooue_Lolo,0.211879705,0.184587832,0.192399164,no,27869,69502,97371
