"","v024","v025","country","dataset"
"139","bas-congo","urban","CD","CDKR61FL"
"140","kasai-oriental","urban","CD","CDKR61FL"
"141","sud-kivu","urban","CD","CDKR61FL"
"142","rs i","urban","CF","CFKR31FL"
"143","rs i","rural","CF","CFKR31FL"
"144","rs ii","urban","CF","CFKR31FL"
"145","rs ii","rural","CF","CFKR31FL"
"146","rs iii","urban","CF","CFKR31FL"
"147","rs iii","rural","CF","CFKR31FL"
"148","rs iv","urban","CF","CFKR31FL"
"149","rs iv","rural","CF","CFKR31FL"
"150","rs v","urban","CF","CFKR31FL"
"151","rs v","rural","CF","CFKR31FL"
"152","bangui","urban","CF","CFKR31FL"
"153","kouilou","rural","CG","CGKR61FL"
"154","niari","urban","CG","CGKR61FL"
"155","niari","rural","CG","CGKR61FL"
"156","lekoumou","rural","CG","CGKR61FL"
"157","bouenza","urban","CG","CGKR61FL"
"158","bouenza","rural","CG","CGKR61FL"
"159","pool","rural","CG","CGKR61FL"
"160","plateaux","rural","CG","CGKR61FL"
"161","cuvette","rural","CG","CGKR61FL"
"162","cuvette - ouest","rural","CG","CGKR61FL"
"163","sangha","urban","CG","CGKR61FL"
"164","sangha","rural","CG","CGKR61FL"
"165","likouala","rural","CG","CGKR61FL"
"166","brazzaville","urban","CG","CGKR61FL"
"167","pointe-noire","urban","CG","CGKR61FL"
"168","abidjan","urban","CI","CIKR81FL"
"169","abidjan","rural","CI","CIKR81FL"
"170","sassandra-marahoue","urban","CI","CIKR81FL"
"171","sassandra-marahoue","rural","CI","CIKR81FL"
"172","savanes","rural","CI","CIKR81FL"
"173","savanes","urban","CI","CIKR81FL"
"174","vallee du bandama","urban","CI","CIKR81FL"
"175","vallee du bandama","rural","CI","CIKR81FL"
"176","comoe","urban","CI","CIKR81FL"
"177","comoe","rural","CI","CIKR81FL"
"178","montagnes","rural","CI","CIKR81FL"
"179","montagnes","urban","CI","CIKR81FL"
"180","yamoussoukro","rural","CI","CIKR81FL"
"181","yamoussoukro","urban","CI","CIKR81FL"
"182","zanzan","rural","CI","CIKR81FL"
"183","zanzan","urban","CI","CIKR81FL"
"184","bas sassandra","rural","CI","CIKR81FL"
"185","bas sassandra","urban","CI","CIKR81FL"
"186","denguele","rural","CI","CIKR81FL"
"187","denguele","urban","CI","CIKR81FL"
"188","lacs","rural","CI","CIKR81FL"
"189","lacs","urban","CI","CIKR81FL"
"190","woroba","urban","CI","CIKR81FL"
"191","woroba","rural","CI","CIKR81FL"
"192","goh-djiboua","urban","CI","CIKR81FL"
"193","goh-djiboua","rural","CI","CIKR81FL"
"194","lagunes","rural","CI","CIKR81FL"
"195","lagunes","urban","CI","CIKR81FL"
"196","far-north","urban","CM","CMKR71FL"
"197","east","rural","CM","CMKR71FL"
"198","centre (without yaounde)","urban","CM","CMKR71FL"
"199","yaounde","urban","CM","CMKR71FL"
"200","adamawa","rural","CM","CMKR71FL"
"201","north-west","urban","CM","CMKR71FL"
"202","far-north","rural","CM","CMKR71FL"
"203","littoral (without douala)","urban","CM","CMKR71FL"
"204","douala","urban","CM","CMKR71FL"
"205","south","urban","CM","CMKR71FL"
"206","south","rural","CM","CMKR71FL"
"207","west","rural","CM","CMKR71FL"
"208","south-west","urban","CM","CMKR71FL"
"209","centre (without yaounde)","rural","CM","CMKR71FL"
"210","east","urban","CM","CMKR71FL"
"211","north-west","rural","CM","CMKR71FL"
"212","north","rural","CM","CMKR71FL"
"213","north","urban","CM","CMKR71FL"
"214","west","urban","CM","CMKR71FL"
"215","littoral (without douala)","rural","CM","CMKR71FL"
"216","adamawa","urban","CM","CMKR71FL"
"217","tigray","urban","ET","ETKR81FL"
"218","tigray","rural","ET","ETKR81FL"
"219","afar","urban","ET","ETKR81FL"
"220","afar","rural","ET","ETKR81FL"
"221","amhara","urban","ET","ETKR81FL"
"222","amhara","rural","ET","ETKR81FL"
"223","oromia","urban","ET","ETKR81FL"
"224","oromia","rural","ET","ETKR81FL"
"225","somali","urban","ET","ETKR81FL"
"226","somali","rural","ET","ETKR81FL"
"227","benishangul","urban","ET","ETKR81FL"
"228","benishangul","rural","ET","ETKR81FL"
"229","snnpr","urban","ET","ETKR81FL"
"230","snnpr","rural","ET","ETKR81FL"
"231","gambela","urban","ET","ETKR81FL"
"232","gambela","rural","ET","ETKR81FL"
"233","harari","urban","ET","ETKR81FL"
"234","harari","rural","ET","ETKR81FL"
"235","addis adaba","urban","ET","ETKR81FL"
"236","dire dawa","urban","ET","ETKR81FL"
"237","dire dawa","rural","ET","ETKR81FL"
"238","ngounié","urban","GA","GAKR71FL"
"239","nyanga","urban","GA","GAKR71FL"
"240","haut-ogooué","urban","GA","GAKR71FL"
"241","port-gentil","urban","GA","GAKR71FL"
"242","ogooué-ivindo","rural","GA","GAKR71FL"
"243","libreville","urban","GA","GAKR71FL"
"244","haut-ogooué","rural","GA","GAKR71FL"
"245","ngounié","rural","GA","GAKR71FL"
"246","ogooué-lolo","urban","GA","GAKR71FL"
"247","estuaire","urban","GA","GAKR71FL"
"248","woleu-ntem","urban","GA","GAKR71FL"
"249","ogooué-ivindo","urban","GA","GAKR71FL"
"250","ogooué-maritime","urban","GA","GAKR71FL"
"251","ogooué-lolo","rural","GA","GAKR71FL"
"252","woleu-ntem","rural","GA","GAKR71FL"
"253","estuaire","rural","GA","GAKR71FL"
"254","ogooué-maritime","rural","GA","GAKR71FL"
"255","moyen-ogooué","urban","GA","GAKR71FL"
"256","moyen-ogooué","rural","GA","GAKR71FL"
"257","nyanga","rural","GA","GAKR71FL"
"258","western","rural","GH","GHKR8CFL"
"259","western","urban","GH","GHKR8CFL"
"260","central","rural","GH","GHKR8CFL"
"261","central","urban","GH","GHKR8CFL"
"262","greater accra","urban","GH","GHKR8CFL"
"263","greater accra","rural","GH","GHKR8CFL"
"264","volta","rural","GH","GHKR8CFL"
"265","volta","urban","GH","GHKR8CFL"
"266","eastern","urban","GH","GHKR8CFL"
"267","eastern","rural","GH","GHKR8CFL"
