"","v024","v025","country","dataset"
"596","oshikoto","rural","NM","NMKR61FL"
"597","kavango","urban","NM","NMKR61FL"
"598","erongo","urban","NM","NMKR61FL"
"599","hardap","urban","NM","NMKR61FL"
"600","karas","rural","NM","NMKR61FL"
"601","kunene","rural","NM","NMKR61FL"
"602","otjozondjupa","urban","NM","NMKR61FL"
"603","oshana","urban","NM","NMKR61FL"
"604","kavango","rural","NM","NMKR61FL"
"605","kunene","urban","NM","NMKR61FL"
"606","omaheke","urban","NM","NMKR61FL"
"607","caprivi","urban","NM","NMKR61FL"
"608","ohangwena","rural","NM","NMKR61FL"
"609","erongo","rural","NM","NMKR61FL"
"610","oshikoto","urban","NM","NMKR61FL"
"611","ohangwena","urban","NM","NMKR61FL"
"612","khomas","rural","NM","NMKR61FL"
"613","kigali","rural","RW","RWKR81FL"
"614","south","rural","RW","RWKR81FL"
"615","north","rural","RW","RWKR81FL"
"616","east","rural","RW","RWKR81FL"
"617","west","rural","RW","RWKR81FL"
"618","north","urban","RW","RWKR81FL"
"619","kigali","urban","RW","RWKR81FL"
"620","east","urban","RW","RWKR81FL"
"621","west","urban","RW","RWKR81FL"
"622","south","urban","RW","RWKR81FL"
"623","southern","rural","SL","SLKR7AFL"
"624","northern","rural","SL","SLKR7AFL"
"625","western","urban","SL","SLKR7AFL"
"626","eastern","rural","SL","SLKR7AFL"
"627","north western","rural","SL","SLKR7AFL"
"628","eastern","urban","SL","SLKR7AFL"
"629","western","rural","SL","SLKR7AFL"
"630","northern","urban","SL","SLKR7AFL"
"631","north western","urban","SL","SLKR7AFL"
"632","southern","urban","SL","SLKR7AFL"
"633","dakar","urban","SN","SNKR8SFL"
"634","dakar","rural","SN","SNKR8SFL"
"635","ziguinchor","urban","SN","SNKR8SFL"
"636","ziguinchor","rural","SN","SNKR8SFL"
"637","diourbel","urban","SN","SNKR8SFL"
"638","diourbel","rural","SN","SNKR8SFL"
"639","saint-louis","urban","SN","SNKR8SFL"
"640","saint-louis","rural","SN","SNKR8SFL"
"641","tambacounda","urban","SN","SNKR8SFL"
"642","tambacounda","rural","SN","SNKR8SFL"
"643","kaolack","urban","SN","SNKR8SFL"
"644","kaolack","rural","SN","SNKR8SFL"
"645","thiès","urban","SN","SNKR8SFL"
"646","thiès","rural","SN","SNKR8SFL"
"647","louga","urban","SN","SNKR8SFL"
"648","louga","rural","SN","SNKR8SFL"
"649","fatick","urban","SN","SNKR8SFL"
"650","fatick","rural","SN","SNKR8SFL"
"651","kolda","urban","SN","SNKR8SFL"
"652","kolda","rural","SN","SNKR8SFL"
"653","matam","urban","SN","SNKR8SFL"
"654","matam","rural","SN","SNKR8SFL"
"655","kaffrine","urban","SN","SNKR8SFL"
"656","kaffrine","rural","SN","SNKR8SFL"
"657","kedougou","urban","SN","SNKR8SFL"
"658","kedougou","rural","SN","SNKR8SFL"
"659","sedhiou","urban","SN","SNKR8SFL"
"660","sedhiou","rural","SN","SNKR8SFL"
"661","região do principe","rural","ST","STKR51FL"
"662","região centro","urban","ST","STKR51FL"
"663","região norte","rural","ST","STKR51FL"
"664","região norte","urban","ST","STKR51FL"
"665","região sul","urban","ST","STKR51FL"
"666","região sul","rural","ST","STKR51FL"
"667","região centro","rural","ST","STKR51FL"
"668","região do principe","urban","ST","STKR51FL"
"669","manzini","urban","SZ","SZKR51FL"
"670","manzini","rural","SZ","SZKR51FL"
"671","hhohho","urban","SZ","SZKR51FL"
"672","hhohho","rural","SZ","SZKR51FL"
"673","lubombo","urban","SZ","SZKR51FL"
"674","lubombo","rural","SZ","SZKR51FL"
"675","shiselweni","urban","SZ","SZKR51FL"
"676","shiselweni","rural","SZ","SZKR51FL"
"677","moyen chari","urban","TD","TDKR71FL"
"678","ouaddaï","urban","TD","TDKR71FL"
"679","borkou/tibesti","rural","TD","TDKR71FL"
"680","chari baguirmi","rural","TD","TDKR71FL"
"681","tandjilé","rural","TD","TDKR71FL"
"682","kanem","rural","TD","TDKR71FL"
"683","borkou/tibesti","urban","TD","TDKR71FL"
"684","moyen chari","rural","TD","TDKR71FL"
"685","ennedi","rural","TD","TDKR71FL"
"686","hadjer-lamis","urban","TD","TDKR71FL"
"687","mandoul","rural","TD","TDKR71FL"
"688","mandoul","urban","TD","TDKR71FL"
"689","lac","rural","TD","TDKR71FL"
"690","n'djaména","urban","TD","TDKR71FL"
"691","mayo kebbi est","rural","TD","TDKR71FL"
"692","guéra","rural","TD","TDKR71FL"
"693","wadi fira","rural","TD","TDKR71FL"
"694","mayo kebbi est","urban","TD","TDKR71FL"
"695","mayo kebbi ouest","rural","TD","TDKR71FL"
"696","batha","rural","TD","TDKR71FL"
"697","salamat","rural","TD","TDKR71FL"
"698","sila","urban","TD","TDKR71FL"
"699","sila","rural","TD","TDKR71FL"
"700","barh el gazal","urban","TD","TDKR71FL"
"701","barh el gazal","rural","TD","TDKR71FL"
"702","hadjer-lamis","rural","TD","TDKR71FL"
"703","guéra","urban","TD","TDKR71FL"
"704","logone oriental","urban","TD","TDKR71FL"
"705","logone oriental","rural","TD","TDKR71FL"
"706","batha","urban","TD","TDKR71FL"
"707","logone occidental","urban","TD","TDKR71FL"
"708","salamat","urban","TD","TDKR71FL"
"709","ennedi","urban","TD","TDKR71FL"
"710","wadi fira","urban","TD","TDKR71FL"
"711","logone occidental","rural","TD","TDKR71FL"
"712","ouaddaï","rural","TD","TDKR71FL"
"713","mayo kebbi ouest","urban","TD","TDKR71FL"
"714","tandjilé","urban","TD","TDKR71FL"
"715","kanem","urban","TD","TDKR71FL"
"716","lac","urban","TD","TDKR71FL"
"717","chari baguirmi","urban","TD","TDKR71FL"
"718","grande agglomération de lomé","urban","TG","TGKR61FL"
"719","kara","rural","TG","TGKR61FL"
"720","plateaux","rural","TG","TGKR61FL"
"721","savanes","rural","TG","TGKR61FL"
"722","maritime (sans agglomération de lomé)","rural","TG","TGKR61FL"
"723","centrale","rural","TG","TGKR61FL"
"724","savanes","urban","TG","TGKR61FL"
"725","plateaux","urban","TG","TGKR61FL"
"726","centrale","urban","TG","TGKR61FL"
"727","kara","urban","TG","TGKR61FL"
"728","maritime (sans agglomération de lomé)","urban","TG","TGKR61FL"
"729","dodoma","rural","TZ","TZKR82FL"
"730","dodoma","urban","TZ","TZKR82FL"
"731","arusha","urban","TZ","TZKR82FL"
"732","arusha","rural","TZ","TZKR82FL"
"733","kilimanjaro","rural","TZ","TZKR82FL"
"734","kilimanjaro","urban","TZ","TZKR82FL"
"735","tanga","urban","TZ","TZKR82FL"
"736","tanga","rural","TZ","TZKR82FL"
"737","morogoro","urban","TZ","TZKR82FL"
"738","morogoro","rural","TZ","TZKR82FL"
"739","pwani","rural","TZ","TZKR82FL"
"740","pwani","urban","TZ","TZKR82FL"
"741","dar es salaam","urban","TZ","TZKR82FL"
"742","lindi","rural","TZ","TZKR82FL"
"743","lindi","urban","TZ","TZKR82FL"
"744","mtwara","rural","TZ","TZKR82FL"
"745","mtwara","urban","TZ","TZKR82FL"
"746","ruvuma","urban","TZ","TZKR82FL"
"747","ruvuma","rural","TZ","TZKR82FL"
"748","iringa","rural","TZ","TZKR82FL"
"749","iringa","urban","TZ","TZKR82FL"
"750","mbeya","rural","TZ","TZKR82FL"
"751","mbeya","urban","TZ","TZKR82FL"
"752","singida","rural","TZ","TZKR82FL"
"753","singida","urban","TZ","TZKR82FL"
"754","tabora","rural","TZ","TZKR82FL"
"755","tabora","urban","TZ","TZKR82FL"
"756","rukwa","rural","TZ","TZKR82FL"
"757","rukwa","urban","TZ","TZKR82FL"
"758","kigoma","urban","TZ","TZKR82FL"
"759","kigoma","rural","TZ","TZKR82FL"
"760","shinyanga","urban","TZ","TZKR82FL"
"761","shinyanga","rural","TZ","TZKR82FL"
"762","kagera","rural","TZ","TZKR82FL"
"763","kagera","urban","TZ","TZKR82FL"
"764","mwanza","rural","TZ","TZKR82FL"
"765","mwanza","urban","TZ","TZKR82FL"
"766","mara","rural","TZ","TZKR82FL"
"767","mara","urban","TZ","TZKR82FL"
"768","manyara","rural","TZ","TZKR82FL"
"769","manyara","urban","TZ","TZKR82FL"
"770","njombe","urban","TZ","TZKR82FL"
"771","njombe","rural","TZ","TZKR82FL"
"772","katavi","rural","TZ","TZKR82FL"
"773","katavi","urban","TZ","TZKR82FL"
"774","simiyu","rural","TZ","TZKR82FL"
"775","simiyu","urban","TZ","TZKR82FL"
"776","geita","rural","TZ","TZKR82FL"
"777","geita","urban","TZ","TZKR82FL"
"778","songwe","urban","TZ","TZKR82FL"
"779","songwe","rural","TZ","TZKR82FL"
"780","kaskazini unguja","rural","TZ","TZKR82FL"
"781","kaskazini unguja","urban","TZ","TZKR82FL"
"782","kusini unguja","rural","TZ","TZKR82FL"
"783","kusini unguja","urban","TZ","TZKR82FL"
"784","mjini magharibi","urban","TZ","TZKR82FL"
"785","mjini magharibi","rural","TZ","TZKR82FL"
"786","kaskazini pemba","urban","TZ","TZKR82FL"
"787","kaskazini pemba","rural","TZ","TZKR82FL"
"788","kusini pemba","urban","TZ","TZKR82FL"
"789","kusini pemba","rural","TZ","TZKR82FL"
"790","kampala","urban","UG","UGKR7BFL"
"791","south buganda","rural","UG","UGKR7BFL"
"792","south buganda","urban","UG","UGKR7BFL"
"793","north buganda","rural","UG","UGKR7BFL"
"794","north buganda","urban","UG","UGKR7BFL"
"795","busoga","rural","UG","UGKR7BFL"
"796","busoga","urban","UG","UGKR7BFL"
"797","bukedi","rural","UG","UGKR7BFL"
"798","bukedi","urban","UG","UGKR7BFL"
"799","bugisu","rural","UG","UGKR7BFL"
"800","bugisu","urban","UG","UGKR7BFL"
"801","teso","rural","UG","UGKR7BFL"
"802","teso","urban","UG","UGKR7BFL"
"803","karamoja","rural","UG","UGKR7BFL"
"804","karamoja","urban","UG","UGKR7BFL"
"805","lango","rural","UG","UGKR7BFL"
"806","lango","urban","UG","UGKR7BFL"
"807","acholi","rural","UG","UGKR7BFL"
"808","acholi","urban","UG","UGKR7BFL"
"809","west nile","rural","UG","UGKR7BFL"
"810","west nile","urban","UG","UGKR7BFL"
"811","bunyoro","rural","UG","UGKR7BFL"
"812","bunyoro","urban","UG","UGKR7BFL"
"813","tooro","rural","UG","UGKR7BFL"
"814","tooro","urban","UG","UGKR7BFL"
"815","ankole","rural","UG","UGKR7BFL"
"816","ankole","urban","UG","UGKR7BFL"
"817","kigezi","rural","UG","UGKR7BFL"
"818","kigezi","urban","UG","UGKR7BFL"
"819","gauteng","urban","ZA","ZAKR71FL"
"820","kwazulu-natal","rural","ZA","ZAKR71FL"
"821","free state","urban","ZA","ZAKR71FL"
"822","mpumalanga","rural","ZA","ZAKR71FL"
"823","eastern cape","rural","ZA","ZAKR71FL"
"824","eastern cape","urban","ZA","ZAKR71FL"
"825","north west","urban","ZA","ZAKR71FL"
"826","north west","rural","ZA","ZAKR71FL"
"827","kwazulu-natal","urban","ZA","ZAKR71FL"
"828","mpumalanga","urban","ZA","ZAKR71FL"
"829","western cape","urban","ZA","ZAKR71FL"
"830","free state","rural","ZA","ZAKR71FL"
"831","northern cape","urban","ZA","ZAKR71FL"
"832","northern cape","rural","ZA","ZAKR71FL"
"833","limpopo","rural","ZA","ZAKR71FL"
"834","western cape","rural","ZA","ZAKR71FL"
"835","gauteng","rural","ZA","ZAKR71FL"
"836","limpopo","urban","ZA","ZAKR71FL"
"837","eastern","rural","ZM","ZMKR71FL"
"838","copperbelt","rural","ZM","ZMKR71FL"
"839","northern","urban","ZM","ZMKR71FL"
"840","central","urban","ZM","ZMKR71FL"
"841","central","rural","ZM","ZMKR71FL"
"842","muchinga","urban","ZM","ZMKR71FL"
"843","southern","urban","ZM","ZMKR71FL"
"844","southern","rural","ZM","ZMKR71FL"
"845","muchinga","rural","ZM","ZMKR71FL"
"846","northern","rural","ZM","ZMKR71FL"
"847","luapula","urban","ZM","ZMKR71FL"
"848","luapula","rural","ZM","ZMKR71FL"
"849","western","rural","ZM","ZMKR71FL"
"850","north western","urban","ZM","ZMKR71FL"
"851","north western","rural","ZM","ZMKR71FL"
"852","lusaka","rural","ZM","ZMKR71FL"
"853","lusaka","urban","ZM","ZMKR71FL"
"854","western","urban","ZM","ZMKR71FL"
"855","copperbelt","urban","ZM","ZMKR71FL"
"856","eastern","urban","ZM","ZMKR71FL"
"857","mashonaland east","rural","ZW","ZWKR72FL"
"858","masvingo","rural","ZW","ZWKR72FL"
"859","harare","urban","ZW","ZWKR72FL"
"860","mashonaland west","rural","ZW","ZWKR72FL"
"861","bulawayo","urban","ZW","ZWKR72FL"
"862","mashonaland east","urban","ZW","ZWKR72FL"
"863","mashonaland central","urban","ZW","ZWKR72FL"
"864","manicaland","rural","ZW","ZWKR72FL"
"865","midlands","urban","ZW","ZWKR72FL"
"866","midlands","rural","ZW","ZWKR72FL"
"867","mashonaland central","rural","ZW","ZWKR72FL"
"868","matabeleland north","rural","ZW","ZWKR72FL"
"869","matabeleland south","rural","ZW","ZWKR72FL"
"870","mashonaland west","urban","ZW","ZWKR72FL"
"871","manicaland","urban","ZW","ZWKR72FL"
"872","matabeleland north","urban","ZW","ZWKR72FL"
"873","masvingo","urban","ZW","ZWKR72FL"
"874","harare","rural","ZW","ZWKR72FL"
"875","matabeleland south","urban","ZW","ZWKR72FL"
