"","Country","Region (admin-1)","PMC delivery strategy (vs. comparator)","Cost-effectiveness threshold (lower)","Cost-effectiveness threshold (upper)","Additional clinical malaria cases averted","Additional hospitalisations averted","Additional deaths averted","Additional DALYs averted","Difference in treatment costs","Difference in implementation costs","Difference in implementation costs (incl. national costs)","Difference in total costs","Difference in total costs (incl. national costs)","ICER based on regional costs only (no national costs)","Cost-effective? (lower country-specific threshold)","Cost-effective? (higher country-specific threshold)","Cost-effective? ($250 / DALY averted threshold)","ICER including national costs for every individual region (i.e. double-counting, just done for calculation purposes)","ICER (incl. national costs) below CET lower bound (Y/N)","ICER (incl. national costs) below CET upper bound (Y/N)","ICER (incl. national costs) below $250 / DALY averted threshold (Y/N)","Current scenario chosen"
"14","AGO","Cuanza_Sul","No PMC vs PMC co-delivery with EPI only",233.4,573,-3217.1644925151,-205.63530316898,-44.2115901813306,-235.636474621075,44264.5427319295,-637366.667561868,-817810.667561868,-593102.124829939,-773546.124829939,2517.02172078284,"no","no","no",3282.79450825205,"no","no","no",NA
"15","AGO","Cunene","PMC co-delivery with EPI only vs No PMC",233.4,573,517.68038967204,43.680497819378,9.39130703116629,41.6025131144176,-8015.63740013425,253239.460659981,433683.460659981,245223.823259847,425667.823259847,5894.44735190439,"no","no","no",10231.781481305,"no","no","no",NA
"16","AGO","Cunene","No PMC vs PMC co-delivery with EPI only",233.4,573,-517.68038967204,-43.680497819378,-9.39130703116629,-41.6025131144176,8015.63740013425,-253239.460659981,-433683.460659981,-245223.823259847,-425667.823259847,5894.44735190439,"no","no","no",10231.781481305,"no","no","no",NA
"17","AGO","Huambo","PMC co-delivery with EPI only vs No PMC",233.4,573,1761.9050851063,134.06091754219,28.8230972715709,136.510358645103,-26049.6673502666,599204.073105752,779648.073105752,573154.405755486,753598.405755486,4198.61475307937,"no","no","no",5520.44850834124,"no","no","no",NA
"18","AGO","Huambo","No PMC vs PMC co-delivery with EPI only",233.4,573,-1761.9050851063,-134.06091754219,-28.8230972715709,-136.510358645103,26049.6673502666,-599204.073105752,-779648.073105752,-573154.405755486,-753598.405755486,4198.61475307937,"no","no","no",5520.44850834124,"no","no","no",NA
"19","AGO","Huila","PMC co-delivery with EPI only vs No PMC",233.4,573,1535.3056426966,120.45906997664,25.8987000449776,120.220344129397,-23006.2738911705,774348.328381564,954792.328381564,751342.054490393,931786.054490393,6249.7080667287,"no","no","no",7750.65203180155,"no","no","no",NA
"20","AGO","Huila","No PMC vs PMC co-delivery with EPI only",233.4,573,-1535.3056426966,-120.45906997664,-25.8987000449776,-120.220344129397,23006.2738911705,-774348.328381564,-954792.328381564,-751342.054490393,-931786.054490393,6249.7080667287,"no","no","no",7750.65203180155,"no","no","no",NA
"21","AGO","Luanda","PMC co-delivery with EPI only vs No PMC",233.4,573,6059.1038650288,539.35556575774,115.961446637914,496.710034000162,-96187.146840425,875648.593710719,1056092.59371072,779461.446870294,959905.446870294,1569.24844177809,"no","no","no",1932.52678859711,"no","no","no",NA
"22","AGO","Luanda","No PMC vs PMC co-delivery with EPI only",233.4,573,-6059.1038650288,-539.35556575774,-115.961446637914,-496.710034000162,96187.146840425,-875648.593710719,-1056092.59371072,-779461.446870294,-959905.446870294,1569.24844177809,"no","no","no",1932.52678859711,"no","no","no",NA
"23","AGO","Lunda_Norte","PMC co-delivery with EPI only vs No PMC",233.4,573,494.964568339401,32.5067560351999,6.98895254756798,36.5555440855592,-6883.46065555915,333209.385159001,513653.385159001,326325.924503442,506769.924503442,8926.85179954285,"no","no","no",13863.0114030675,"no","no","no",NA
"24","AGO","Lunda_Norte","No PMC vs PMC co-delivery with EPI only",233.4,573,-494.964568339401,-32.5067560351999,-6.98895254756798,-36.5555440855592,6883.46065555915,-333209.385159001,-513653.385159001,-326325.924503442,-506769.924503442,8926.85179954285,"no","no","no",13863.0114030675,"no","no","no",NA
"25","AGO","Lunda_Sul","PMC co-delivery with EPI only vs No PMC",233.4,573,385.3172184496,28.733577847579,6.1777192372295,29.6504632318871,-5647.600023138,152737.047419317,333181.047419317,147089.447396178,327533.447396178,4960.78075562724,"no","no","no",11046.4866884082,"no","no","no",NA
"26","AGO","Lunda_Sul","No PMC vs PMC co-delivery with EPI only",233.4,573,-385.3172184496,-28.733577847579,-6.1777192372295,-29.6504632318871,5647.600023138,-152737.047419317,-333181.047419317,-147089.447396178,-327533.447396178,4960.78075562724,"no","no","no",11046.4866884082,"no","no","no",NA
"27","AGO","Malanje","PMC co-delivery with EPI only vs No PMC",233.4,573,1739.8406738376,102.19608022922,21.9721572492823,124.296110285487,-23178.500438654,632548.450424324,812992.450424324,609369.94998567,789813.94998567,4902.56652912188,"no","no","no",6354.29337387632,"no","no","no",NA
