Country,Iso code,Age group,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,Scenario
Equatorial Guinea,GNQ,0-30mo,Bioko_Norte,raw cases,6,33116.5492242337,1209.61950328451,2014.29854121708,73.5745377453377,3542.28014117489,155.859790933315,215.457524654455,9.48009852674015,29574.2690830589,1053.7597123512,1798.84101656262,64.0944392185975,10.6964047406931,12.8850262838938,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,0-30mo,Bioko_Sur,raw cases,6,4075.38416189613,137.823780203664,2339.19128964471,79.108170751765,384.745891251406,18.150230895768,220.836662702036,10.4178797212254,3690.63827064473,119.673549307896,2118.35462694267,68.6902910305396,9.44072695891316,13.1691576511304,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,0-30mo,Centro_Sur,raw cases,6,9163.56053132884,353.348662762689,1345.69941666071,51.8904292422062,675.518236071359,33.1226120380011,99.2021052424996,4.86416601335567,8488.04229525748,320.226050724688,1246.49731141821,47.0262632288505,7.37178778665632,9.37391747262575,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,0-30mo,Kie_Ntem,raw cases,6,11332.5299784433,471.539357072254,1211.76794271218,50.4208925733422,1039.25678235909,52.014486638875,111.125940589124,5.56181961005302,10293.2731960842,419.524870433379,1100.64200212306,44.8590729632891,9.17056283403578,11.0307837211783,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,0-30mo,Litoral,raw cases,6,20116.021283352,870.011360751516,1049.28980682182,45.3814419758673,1747.98684809943,94.6823885301079,91.1783078936824,4.93881288803404,18368.0344352525,775.328972221409,958.11149892814,40.4426290878333,8.68952574406979,10.8828910519423,PMC co-delivery with EPI only
Equatorial Guinea,GNQ,0-30mo,Wele_Nzas,raw cases,6,13046.8664762258,504.436037020072,1378.04401839156,53.2798480572586,1093.79859645349,49.6888546484221,115.529856606905,5.24826624490706,11953.0678797723,454.74718237165,1262.51416178465,48.0315818123515,8.3836114859198,9.85037764985154,PMC co-delivery with EPI only
