Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,Scenario
Mali,MLI,n_age_0_6,3,Bamako,raw cases,5,77.2766406038248,3.14856567012887,75.7513658598847,3.08641975308642,0,0,0,0,77.2766406038248,3.14856567012887,75.7513658598847,3.08641975308642,PMC co-delivery with EPI only
Mali,MLI,n_age_7_13,10,Bamako,raw cases,5,61.908881146262,3.03274025928879,52.0752869511169,2.55102040816327,0,0,0,0,61.908881146262,3.03274025928879,52.0752869511169,2.55102040816327,PMC co-delivery with EPI only
Mali,MLI,n_age_14_20,17,Bamako,raw cases,5,79.6487882263062,3.35435122964105,67.0760339353451,2.82485875706215,0,0,0,0,79.6487882263062,3.35435122964105,67.0760339353451,2.82485875706215,PMC co-delivery with EPI only
Mali,MLI,n_age_21_27,24,Bamako,raw cases,5,109.251167272076,0,92.1282109861405,0,0,0,0,0,109.251167272076,0,92.1282109861405,0,PMC co-delivery with EPI only
Mali,MLI,n_age_28_34,31,Bamako,raw cases,5,106.727453109326,3.47350704547238,90.1059734041415,2.93255131964809,0,0,0,0,106.727453109326,3.47350704547238,90.1059734041415,2.93255131964809,PMC co-delivery with EPI only
Mali,MLI,n_age_35_41,38,Bamako,raw cases,5,73.1445848946621,6.40776140801253,61.8189015282731,5.41558574799572,0,0,0,0,73.1445848946621,6.40776140801253,61.8189015282731,5.41558574799572,PMC co-delivery with EPI only
Mali,MLI,n_age_42_48,45,Bamako,raw cases,5,88.4655172533999,6.88204560332168,74.848436752534,5.82272473005272,73.2081499591285,5.69512101659217,61.9395641613712,4.81849785592073,15.2573672942714,1.18692458672951,12.9088725911628,1.00422687413199,PMC co-delivery with EPI only
Mali,MLI,n_age_49_55,52,Bamako,raw cases,5,72.4034191842728,6.63287065052055,61.3249983854569,5.61797752808989,58.3252060042665,5.34316682070862,49.4008874765961,4.52561081154518,14.0782131800064,1.28970382981193,11.9241109088608,1.09236671654471,PMC co-delivery with EPI only
Mali,MLI,n_age_56_62,59,Bamako,raw cases,5,82.97259810537,3.40837574999762,70.3576173596754,2.89017341040462,61.3955624189208,2.52202716179104,52.0611091720524,2.13858341273898,21.5770356864492,0.886348588206581,18.296508187623,0.75158999766564,PMC co-delivery with EPI only
Mali,MLI,n_age_63_69,66,Bamako,raw cases,5,92.5492882809264,10.2659854106662,78.5735527698231,8.71573365265364,57.3698883542325,6.3637273478361,48.7065436561456,5.40274999263302,35.1793999266939,3.90225806283008,29.8670091136775,3.31298366002062,PMC co-delivery with EPI only
Mali,MLI,n_age_70_76,73,Bamako,raw cases,5,135.210268556896,3.28635262929578,114.924463990241,2.79329608938547,105.196649933891,2.5568567446331,89.4138347350013,2.17324759438032,30.013618623005,0.729495884662682,25.5106292552397,0.62004849500515,PMC co-delivery with EPI only
Mali,MLI,n_age_77_83,80,Bamako,raw cases,5,85.8959761685699,3.36715119151925,73.094512706925,2.86532951289398,65.054425895719,2.55015540237289,55.359072361486,2.17009427889341,20.841550272851,0.816995789146364,17.735440345439,0.69523523400057,PMC co-delivery with EPI only
Mali,MLI,n_age_84_90,87,Bamako,raw cases,5,85.4718888756458,6.44155019934808,72.8167962977737,5.48780487804878,59.4610286360297,4.48125349635271,50.6571419773499,3.81775256514285,26.0108602396161,1.96029670299537,22.1596543204238,1.67005231290593,PMC co-delivery with EPI only
Mali,MLI,n_age_91_97,94,Bamako,raw cases,5,83.1245310343311,3.40836411080472,70.8964977720999,2.90697674418605,48.4447760918748,1.9863863787613,41.318307815162,1.69417903143679,34.6797549424563,1.42197773204341,29.5781899569379,1.21279771274926,PMC co-delivery with EPI only
Mali,MLI,n_age_98_104,101,Bamako,raw cases,5,124.518278509392,16.0835874450672,106.315663729031,13.7324198088497,92.6114916155855,11.9623001670798,79.0731474761269,10.2135999406148,31.9067868938061,4.12128727798747,27.2425162529041,3.51881986823486,PMC co-delivery with EPI only
Mali,MLI,n_age_105_111,108,Bamako,raw cases,5,66.4525988897867,3.4820229072094,56.7990496341659,2.97619047619048,48.1122354829876,2.52101360770954,41.1229853589502,2.15478671150526,18.3403634067991,0.961009299499862,15.6760642752157,0.82140376468522,PMC co-delivery with EPI only
Mali,MLI,n_age_112_118,115,Bamako,raw cases,5,125.769244229517,13.3744908883709,107.623151016108,11.4448080010398,83.641748773316,8.89458956129741,71.5738463296682,7.61127063652297,42.127495456201,4.47990132707352,36.0493046864398,3.83353736451683,PMC co-delivery with EPI only
Mali,MLI,n_age_119_125,122,Bamako,raw cases,5,96.0692665638103,26.6424145107383,82.3079575848886,22.8260587588886,53.523161325444804,14.8433135898926,45.8563102410879,12.717103701053,42.5461052383655,11.7991009208457,36.4516473438007,10.1089550578356,PMC co-delivery with EPI only
Mali,MLI,n_age_126_132,129,Bamako,raw cases,5,131.402753408942,13.2501354013449,112.710387169067,11.3652709124017,52.4094795537283,5.28476521522919,44.9541016347382,4.5329943098861,78.9932738552136,7.96537018611567,67.7562855343288,6.8322766025156,PMC co-delivery with EPI only
Mali,MLI,n_age_133_139,136,Bamako,raw cases,5,126.841060349047,6.56634906060318,108.913643665449,5.63827675203494,32.0171114524489,1.65747218708578,27.4918883390996,1.42320897249587,94.8239488965978,4.9088768735174,81.4217553263494,4.21506777953907,PMC co-delivery with EPI only
Mali,MLI,n_age_140_146,143,Bamako,raw cases,5,131.685375160156,13.0522846342283,113.207112509672,11.220771124343,24.5329125977384,2.43163341216053,21.0904224805858,2.09042345771458,107.152462562417,10.6206512220678,92.1166900290862,9.13034766662842,PMC co-delivery with EPI only
