"Iso code","Admin-1 unit","Rurality","Age group","age_in_days_midpoint","infection_class","units","value"
"SLE","Eastern","rural/urban merged","n_age_280_286",283,"clinical","ppy",2.63180828042338
"SLE","Eastern","rural/urban merged","n_age_287_293",290,"clinical","ppy",2.64629114730982
"SLE","Eastern","rural/urban merged","n_age_294_300",297,"clinical","ppy",2.56658962242725
"SLE","Eastern","rural/urban merged","n_age_301_307",304,"clinical","ppy",2.67054387570167
"SLE","Eastern","rural/urban merged","n_age_308_314",311,"clinical","ppy",2.70573756116164
"SLE","Eastern","rural/urban merged","n_age_315_321",318,"clinical","ppy",2.72655232289327
"SLE","Eastern","rural/urban merged","n_age_322_328",325,"clinical","ppy",2.71064760911268
"SLE","Eastern","rural/urban merged","n_age_329_335",332,"clinical","ppy",2.7618141167904
"SLE","Eastern","rural/urban merged","n_age_336_342",339,"clinical","ppy",2.66591519446858
"SLE","Eastern","rural/urban merged","n_age_343_349",346,"clinical","ppy",2.67805538731981
"SLE","Eastern","rural/urban merged","n_age_350_356",353,"clinical","ppy",2.75971350904468
"SLE","Eastern","rural/urban merged","n_age_357_363",360,"clinical","ppy",2.84368369446489
"SLE","Eastern","rural/urban merged","n_age_364_370",367,"clinical","ppy",2.75016683757159
"SLE","Eastern","rural/urban merged","n_age_371_377",374,"clinical","ppy",2.72700112983264
"SLE","Eastern","rural/urban merged","n_age_378_384",381,"clinical","ppy",2.83635746190404
"SLE","Eastern","rural/urban merged","n_age_385_391",388,"clinical","ppy",2.75898104344888
"SLE","Eastern","rural/urban merged","n_age_392_398",395,"clinical","ppy",2.66796165030835
"SLE","Eastern","rural/urban merged","n_age_399_405",402,"clinical","ppy",2.83144624501905
"SLE","Eastern","rural/urban merged","n_age_406_412",409,"clinical","ppy",2.79670519330547
"SLE","Eastern","rural/urban merged","n_age_413_419",416,"clinical","ppy",2.76717670150478
"SLE","Eastern","rural/urban merged","n_age_420_426",423,"clinical","ppy",2.85849049790846
"SLE","Eastern","rural/urban merged","n_age_427_433",430,"clinical","ppy",2.8465263492647
"SLE","Eastern","rural/urban merged","n_age_434_440",437,"clinical","ppy",2.81564314196185
"SLE","Eastern","rural/urban merged","n_age_441_447",444,"clinical","ppy",2.83915253858802
"SLE","Eastern","rural/urban merged","n_age_448_454",451,"clinical","ppy",2.79458628976486
"SLE","Eastern","rural/urban merged","n_age_455_461",458,"clinical","ppy",2.81199758022683
"SLE","Eastern","rural/urban merged","n_age_462_468",465,"clinical","ppy",2.75071396926401
"SLE","Eastern","rural/urban merged","n_age_469_475",472,"clinical","ppy",2.73087990834035
"SLE","Eastern","rural/urban merged","n_age_476_482",479,"clinical","ppy",2.78504718871355
"SLE","Eastern","rural/urban merged","n_age_483_489",486,"clinical","ppy",2.88622520010723
"SLE","Eastern","rural/urban merged","n_age_490_496",493,"clinical","ppy",2.82061529856942
"SLE","Eastern","rural/urban merged","n_age_497_503",500,"clinical","ppy",2.83304966775928
"SLE","Eastern","rural/urban merged","n_age_504_510",507,"clinical","ppy",2.91224210191406
"SLE","Eastern","rural/urban merged","n_age_511_517",514,"clinical","ppy",2.69011345957647
"SLE","Eastern","rural/urban merged","n_age_518_524",521,"clinical","ppy",2.8459232689404
"SLE","Eastern","rural/urban merged","n_age_525_531",528,"clinical","ppy",2.97731514106297
"SLE","Eastern","rural/urban merged","n_age_532_538",535,"clinical","ppy",2.61356589132581
"SLE","Eastern","rural/urban merged","n_age_539_545",542,"clinical","ppy",2.79051807880068
"SLE","Eastern","rural/urban merged","n_age_546_552",549,"clinical","ppy",2.80328300437654
"SLE","Eastern","rural/urban merged","n_age_553_559",556,"clinical","ppy",2.76862836572159
"SLE","Eastern","rural/urban merged","n_age_560_566",563,"clinical","ppy",2.81815820431668
"SLE","Eastern","rural/urban merged","n_age_567_573",570,"clinical","ppy",2.80076400079663
"SLE","Eastern","rural/urban merged","n_age_574_580",577,"clinical","ppy",2.77889981574307
"SLE","Eastern","rural/urban merged","n_age_581_587",584,"clinical","ppy",2.68684995532474
"SLE","Eastern","rural/urban merged","n_age_588_594",591,"clinical","ppy",2.74266985653697
"SLE","Eastern","rural/urban merged","n_age_595_601",598,"clinical","ppy",2.8110680439531
"SLE","Eastern","rural/urban merged","n_age_602_608",605,"clinical","ppy",2.82242626699376
"SLE","Eastern","rural/urban merged","n_age_609_615",612,"clinical","ppy",2.79764037039536
"SLE","Eastern","rural/urban merged","n_age_616_622",619,"clinical","ppy",2.75606662817964
"SLE","Eastern","rural/urban merged","n_age_623_629",626,"clinical","ppy",2.73572930886363
"SLE","Eastern","rural/urban merged","n_age_630_636",633,"clinical","ppy",2.68543319671876
"SLE","Eastern","rural/urban merged","n_age_637_643",640,"clinical","ppy",2.93362561035133
