"Country","Iso code","Age group","age_in_days_midpoint","N doses","units","clinical_ppy_with_PMC","severe_ppy_with_PMC"
"Sierra Leone","SLE","n_age_455_461",458,6,"raw cases",1.55914649140218,0.0398515089904779
"Sierra Leone","SLE","n_age_462_468",465,6,"raw cases",1.6276450496661,0.0549761383925849
"Sierra Leone","SLE","n_age_469_475",472,6,"raw cases",1.75168376122884,0.0510633758897871
"Sierra Leone","SLE","n_age_476_482",479,6,"raw cases",1.94108185558017,0.0510519456281266
"Sierra Leone","SLE","n_age_483_489",486,6,"raw cases",2.22513925048203,0.065651921291312
"Sierra Leone","SLE","n_age_490_496",493,6,"raw cases",2.55204332223327,0.0683367561204609
"Sierra Leone","SLE","n_age_497_503",500,6,"raw cases",2.64647575322028,0.0691591496120466
"Sierra Leone","SLE","n_age_504_510",507,6,"raw cases",2.69176891280677,0.0775853407263366
"Sierra Leone","SLE","n_age_511_517",514,6,"raw cases",2.83860244408579,0.0745231896133211
"Sierra Leone","SLE","n_age_518_524",521,6,"raw cases",2.8158612757793,0.0830414837571864
"Sierra Leone","SLE","n_age_525_531",528,6,"raw cases",2.92005830747597,0.0862775655795218
"Sierra Leone","SLE","n_age_532_538",535,6,"raw cases",3.04239448266058,0.0773896369759694
"Sierra Leone","SLE","n_age_539_545",542,6,"raw cases",2.89726142750131,0.0889809852707293
"Sierra Leone","SLE","n_age_546_552",549,6,"raw cases",2.97249017244242,0.075706918545738
"Sierra Leone","SLE","n_age_553_559",556,6,"raw cases",2.8945346004713,0.0729656174910109
"Sierra Leone","SLE","n_age_560_566",563,6,"raw cases",2.91150847307912,0.0789758054361395
"Sierra Leone","SLE","n_age_567_573",570,6,"raw cases",2.92294255847357,0.0673618069697834
"Sierra Leone","SLE","n_age_574_580",577,6,"raw cases",2.92710925164392,0.0780461008288511
"Sierra Leone","SLE","n_age_581_587",584,6,"raw cases",2.94145521286121,0.0796808658179766
"Sierra Leone","SLE","n_age_588_594",591,6,"raw cases",2.95425496374272,0.0733369584736373
"Sierra Leone","SLE","n_age_595_601",598,6,"raw cases",2.97123557840146,0.0702515501477109
"Sierra Leone","SLE","n_age_602_608",605,6,"raw cases",2.92979163678604,0.0711697368036342
"Sierra Leone","SLE","n_age_609_615",612,6,"raw cases",2.93542252482999,0.0705513011663465
"Sierra Leone","SLE","n_age_616_622",619,6,"raw cases",2.93599424463456,0.0792875216666252
"Sierra Leone","SLE","n_age_623_629",626,6,"raw cases",2.96343586843696,0.0929500229841451
"Sierra Leone","SLE","n_age_630_636",633,6,"raw cases",2.94562794328563,0.0651497998946007
"Sierra Leone","SLE","n_age_637_643",640,6,"raw cases",2.88186856533908,0.0664003552793297
"Sierra Leone","SLE","n_age_644_650",647,6,"raw cases",2.91296696528071,0.0654773445397463
"Sierra Leone","SLE","n_age_651_657",654,6,"raw cases",2.87695909723306,0.060966955050362
"Sierra Leone","SLE","n_age_658_664",661,6,"raw cases",2.89466033305097,0.0641995637899221
"Sierra Leone","SLE","n_age_665_671",668,6,"raw cases",2.86918125618528,0.065111102190576
"Sierra Leone","SLE","n_age_672_678",675,6,"raw cases",2.9191245308864,0.0698123292224796
"Sierra Leone","SLE","n_age_679_685",682,6,"raw cases",2.83678359359586,0.0631420750136839
"Sierra Leone","SLE","n_age_686_692",689,6,"raw cases",2.87849479457066,0.0630890063434622
"Sierra Leone","SLE","n_age_693_699",696,6,"raw cases",2.84182866024331,0.059712700849303
"Sierra Leone","SLE","n_age_700_706",703,6,"raw cases",2.82825291021187,0.0577352476576221
"Sierra Leone","SLE","n_age_707_713",710,6,"raw cases",2.78046752078591,0.0540862217025701
"Sierra Leone","SLE","n_age_714_720",717,6,"raw cases",2.7671651720112,0.0584901737543538
"Sierra Leone","SLE","n_age_721_727",724,6,"raw cases",2.78756605070799,0.0671218409720162
"Sierra Leone","SLE","n_age_728_734",731,6,"raw cases",2.78689709984173,0.0526304260743248
"Sierra Leone","SLE","n_age_735_741",738,6,"raw cases",2.77604753096272,0.0524087924689067
"Sierra Leone","SLE","n_age_742_748",745,6,"raw cases",2.81442863139829,0.0564582834306048
"Sierra Leone","SLE","n_age_749_755",752,6,"raw cases",2.72551530458513,0.0551851443565475
"Sierra Leone","SLE","n_age_756_762",759,6,"raw cases",2.69658706848936,0.0494789324899348
"Sierra Leone","SLE","n_age_763_769",766,6,"raw cases",2.66358016617968,0.0529561046541275
