"Country","Iso code","Age group","age_in_days_midpoint","Admin-1 unit","units","N doses","clinical_cases_no_PMC","severe_cases_no_PMC","clinical_cases_with_PMC","severe_cases_with_PMC","clinical_cases_no_PMC_per1000","severe_cases_no_PMC_per1000","clinical_cases_with_PMC_per1000","severe_cases_with_PMC_per1000","clinical_cases_averted_with_PMC","severe_cases_averted_with_PMC","clinical_cases_averted_with_PMC_per1000","severe_cases_averted_with_PMC_per1000","clinical_cases_reduction","severe_cases_reduction"
"Sierra Leone","SLE","n_age_0_182",91,"Eastern","raw cases",6,13544.6904700675,626.877574192179,8651.11672894916,427.820371712541,812.648272905577,37.6279685971909,520.323768925258,25.7378289900482,4893.57374111834,199.057202479638,292.324503980319,11.8901396071427,36.1290924435127,31.7537603312977
"Sierra Leone","SLE","n_age_183_364",273.5,"Eastern","raw cases",6,40864.8202976086,1685.4525983904,28562.7044418946,1142.74577333464,2497.52642948148,102.981588408771,1747.32298050915,69.8740605474758,12302.115855714,542.706825055754,750.203448972332,33.1075278612952,30.104416870356,32.1994712621428
"Sierra Leone","SLE","n_age_365_547",456,"Eastern","raw cases",6,45023.0782135282,1407.31995460559,40677.5456286964,1347.5606520349,2797.63083980707,87.4350405558492,2527.24994194285,83.6988460812027,4345.53258483188,59.7593025706867,270.38089786422,3.73619447464654,9.65178916515344,4.24631956472434
"Sierra Leone","SLE","n_age_548_729",638.5,"Eastern","raw cases",6,44184.7265149655,1121.98351717585,44535.735210779,1104.53709623311,2776.80841062338,70.4886249249023,2798.7395935952,69.406583399067,-351.008695813463,17.4464209427379,-21.9311829718222,1.08204152583531,-0.794411832999748,1.55496232125159
"Sierra Leone","SLE","n_age_730_912",821,"Eastern","raw cases",6,42277.0913049208,863.77590369478,41796.530277481,867.33491168318,2586.85862928114,52.8438438523082,2557.55962896312,53.0633196229582,480.561027439842,-3.55900798839991,29.2990003180221,-0.219475770649993,1.1366936858873,-0.412029089162634
"Sierra Leone","SLE","n_age_0_182",91,"Northern","raw cases",6,27310.5862390557,1190.60512104083,18044.8469792801,896.117082405137,1078.79181208057,46.9787063675667,714.21581145888,35.456666481019,9265.73925977553,294.488038635693,364.576000621686,11.5220398865477,33.927280720635,24.7343164775111
"Sierra Leone","SLE","n_age_183_364",273.5,"Northern","raw cases",6,97442.4063741256,3287.77276928462,67381.5652987281,2408.09322281601,3918.24078017661,132.094544123926,2712.06262768906,96.8560396952956,30060.8410753975,879.679546468616,1206.17815248755,35.2385044286307,30.8498550004813,26.7560932034857
"Sierra Leone","SLE","n_age_365_547",456,"Northern","raw cases",6,102031.579901507,2417.35449287487,94081.8382669737,2296.53513975057,4171.95394234741,98.8132908815225,3846.45604147579,93.867022807092,7949.74163453364,120.819353124297,325.497900871625,4.94626807443044,7.7914520604382,4.99799898940811
"Sierra Leone","SLE","n_age_548_729",638.5,"Northern","raw cases",6,96918.56614089,1875.44895273487,96872.2974545059,1770.25619530524,4007.95917646631,77.5280923282616,4005.99323959797,73.1728224710308,46.2686863841082,105.192757429629,1.96593686833648,4.35526985723075,0.0477397553703463,5.60893738409843
"Sierra Leone","SLE","n_age_730_912",821,"Northern","raw cases",6,85373.8928164663,1147.07058353675,85905.4767246596,1214.72992174583,3436.92602340691,46.1699578119918,3458.30358096276,48.8930719523411,-531.583908193366,-67.6593382090823,-21.3775575558529,-2.7231141403493,-0.622653940984214,-5.89844593525093
"Sierra Leone","SLE","n_age_0_182",91,"Southern","raw cases",6,15251.2465497255,775.620060082578,9247.72634363666,485.858284553807,870.846168779163,44.2864018968207,529.547201773197,27.7883911023586,6003.52020608882,289.761775528771,341.298967005966,16.4980107944621,39.3641279518682,37.3587263199357
