"Country","Rurality","Iso code","Admin-1 unit","Age group","age_in_days_midpoint","infection_class","units","value","Scenario","doses"
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_238_244",241,"severe","ppy",0.0985691976990817,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_245_251",248,"severe","ppy",0.110900262824319,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_252_258",255,"severe","ppy",0.112369932265518,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_259_265",262,"severe","ppy",0.0977669579877418,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_266_272",269,"severe","ppy",0.0880206766517801,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_273_279",276,"severe","ppy",0.0148680941552861,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_280_286",283,"severe","ppy",0.0186354350014342,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_287_293",290,"severe","ppy",0.0187117965562664,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_294_300",297,"severe","ppy",0.0281634381750754,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_301_307",304,"severe","ppy",0.0473261417378854,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_308_314",311,"severe","ppy",0.0631483909840474,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_315_321",318,"severe","ppy",0.100834312478061,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_322_328",325,"severe","ppy",0.0939734357725821,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_329_335",332,"severe","ppy",0.0761007322713005,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_336_342",339,"severe","ppy",0.065279379611009,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_343_349",346,"severe","ppy",0.116279019751878,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_350_356",353,"severe","ppy",0.10108834345865,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_357_363",360,"severe","ppy",0.112078487222039,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_364_370",367,"severe","ppy",0.111194338091586,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_371_377",374,"severe","ppy",0.126538908911875,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_378_384",381,"severe","ppy",0.119148663891248,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_385_391",388,"severe","ppy",0.0788132029163242,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_392_398",395,"severe","ppy",0.0772609906109157,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_399_405",402,"severe","ppy",0.0762986421860502,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_406_412",409,"severe","ppy",0.0952724713997356,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_413_419",416,"severe","ppy",0.11380148626326,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_420_426",423,"severe","ppy",0.0874945541702991,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_427_433",430,"severe","ppy",0.101304506414379,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_434_440",437,"severe","ppy",0.0996697281734286,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_441_447",444,"severe","ppy",0.0936725133616544,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_448_454",451,"severe","ppy",0.111740769987739,"PMC co-delivery with EPI only",6
