"Country","Iso code","Age group","Admin-1 unit","units","N doses","clinical_cases_no_PMC","severe_cases_no_PMC","clinical_cases_no_PMC_per1000","severe_cases_no_PMC_per1000","clinical_cases_averted_with_PMC","severe_cases_averted_with_PMC","clinical_cases_averted_with_PMC_per1000","severe_cases_averted_with_PMC_per1000","clinical_cases_with_PMC","severe_cases_with_PMC","clinical_cases_with_PMC_per1000","severe_cases_with_PMC_per1000","clinical_cases_reduction","severe_cases_reduction"
"Sierra Leone","SLE","n_age_0_916","Eastern","raw cases",6,185894.406801091,5705.40954805879,2284.26126641981,70.1077900296245,21670.7745132906,815.410743060415,266.289404215344,10.0197268365827,164223.6322878,4889.99880499838,2017.97186220447,60.0880631930418,11.6575721056947,14.2918880089485
"Sierra Leone","SLE","n_age_0_916","Northern","raw cases",6,409077.031472045,9918.25191947194,3307.78389449358,80.1986702668278,46791.0067478974,1332.52035744915,378.350595658931,10.774717323029,362286.024724148,8585.73156202279,2929.43329883465,69.4239529437988,11.4381896679758,13.4350323854256
"Sierra Leone","SLE","n_age_0_916","Southern","raw cases",6,191336.458915846,6088.55801881777,2237.87000489449,71.2117358112333,22468.1816749091,933.672407768539,262.787709774192,10.9202265348802,168868.277240937,5154.88561104923,1975.0822951203,60.2915092763531,11.742760267551,15.3348691904201
"Sierra Leone","SLE","n_age_0_916","Western","raw cases",6,110944.7088009,4734.95429749704,1303.52197518954,55.6323689972627,12516.0297265925,471.287784379803,147.05451000838,5.53729862575003,98428.6790743079,4263.66651311724,1156.46746518116,50.0950703715127,11.281321896165,9.95337557173321
