Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC,Scenario
Benin,BEN,n_age_0_6,3,5,raw cases,0.0775251342356404,0.00368909671684621,PMC co-delivery with EPI only
Benin,BEN,n_age_7_13,10,5,raw cases,0.0871393792379605,0.00626300324961868,PMC co-delivery with EPI only
Benin,BEN,n_age_14_20,17,5,raw cases,0.0974482566355081,0.00784965944362507,PMC co-delivery with EPI only
Benin,BEN,n_age_21_27,24,5,raw cases,0.110147887992847,0.00697488040622654,PMC co-delivery with EPI only
Benin,BEN,n_age_28_34,31,5,raw cases,0.131374750732074,0.00771851728087488,PMC co-delivery with EPI only
Benin,BEN,n_age_35_41,38,5,raw cases,0.158932993294444,0.00976343551473186,PMC co-delivery with EPI only
Benin,BEN,n_age_42_48,45,5,raw cases,0.0449830357521387,0.00286038214169968,PMC co-delivery with EPI only
Benin,BEN,n_age_49_55,52,5,raw cases,0.0562983817522799,0.0034250158534423,PMC co-delivery with EPI only
Benin,BEN,n_age_56_62,59,5,raw cases,0.0666604931029972,0.00471231648828514,PMC co-delivery with EPI only
Benin,BEN,n_age_63_69,66,5,raw cases,0.108129803726925,0.00903167748108369,PMC co-delivery with EPI only
Benin,BEN,n_age_70_76,73,5,raw cases,0.092419179199088,0.0047877770432201,PMC co-delivery with EPI only
Benin,BEN,n_age_77_83,80,5,raw cases,0.104963372327735,0.00702323730397543,PMC co-delivery with EPI only
Benin,BEN,n_age_84_90,87,5,raw cases,0.137047959271229,0.00860625039207148,PMC co-delivery with EPI only
Benin,BEN,n_age_91_97,94,5,raw cases,0.184241613006679,0.0100326457889269,PMC co-delivery with EPI only
Benin,BEN,n_age_98_104,101,5,raw cases,0.176017808632748,0.00957244392100635,PMC co-delivery with EPI only
Benin,BEN,n_age_105_111,108,5,raw cases,0.191921297570919,0.0083609157186929,PMC co-delivery with EPI only
Benin,BEN,n_age_112_118,115,5,raw cases,0.226946587502866,0.0117830096485062,PMC co-delivery with EPI only
Benin,BEN,n_age_119_125,122,5,raw cases,0.305881704432157,0.0149245267297028,PMC co-delivery with EPI only
Benin,BEN,n_age_126_132,129,5,raw cases,0.442451179981548,0.0192783664108261,PMC co-delivery with EPI only
Benin,BEN,n_age_133_139,136,5,raw cases,0.593318724588265,0.0336633691745339,PMC co-delivery with EPI only
Benin,BEN,n_age_140_146,143,5,raw cases,0.690903788606745,0.0284340303101161,PMC co-delivery with EPI only
Benin,BEN,n_age_147_153,150,5,raw cases,0.763688725941205,0.0335460713317198,PMC co-delivery with EPI only
Benin,BEN,n_age_154_160,157,5,raw cases,0.807003931640216,0.0355591719013224,PMC co-delivery with EPI only
Benin,BEN,n_age_161_167,164,5,raw cases,0.860370742598823,0.0442806508740892,PMC co-delivery with EPI only
Benin,BEN,n_age_168_174,171,5,raw cases,0.927283091193336,0.0455353070357621,PMC co-delivery with EPI only
Benin,BEN,n_age_175_181,178,5,raw cases,0.951478975597291,0.0402240794884506,PMC co-delivery with EPI only
Benin,BEN,n_age_182_188,185,5,raw cases,0.422205297530412,0.0188621622721755,PMC co-delivery with EPI only
Benin,BEN,n_age_189_195,192,5,raw cases,0.430331168079606,0.0234785870894704,PMC co-delivery with EPI only
Benin,BEN,n_age_196_202,199,5,raw cases,0.491830565779773,0.0250654458911628,PMC co-delivery with EPI only
Benin,BEN,n_age_203_209,206,5,raw cases,0.602033154597418,0.0306455622816663,PMC co-delivery with EPI only
Benin,BEN,n_age_210_216,213,5,raw cases,0.812984175080129,0.0316275081350437,PMC co-delivery with EPI only
Benin,BEN,n_age_217_223,220,5,raw cases,1.05330372960368,0.0492248415788291,PMC co-delivery with EPI only
Benin,BEN,n_age_224_230,227,5,raw cases,1.13730506773277,0.0560388780228785,PMC co-delivery with EPI only
Benin,BEN,n_age_231_237,234,5,raw cases,1.16103441913585,0.0531512663000101,PMC co-delivery with EPI only
Benin,BEN,n_age_238_244,241,5,raw cases,1.17434654755114,0.0513428057555638,PMC co-delivery with EPI only
Benin,BEN,n_age_245_251,248,5,raw cases,1.21521269410401,0.0513233798148364,PMC co-delivery with EPI only
Benin,BEN,n_age_252_258,255,5,raw cases,1.28220654349731,0.0626260742123307,PMC co-delivery with EPI only
Benin,BEN,n_age_259_265,262,5,raw cases,1.24012905447171,0.0588176536251423,PMC co-delivery with EPI only
Benin,BEN,n_age_266_272,269,5,raw cases,1.26496159782926,0.0567418768459373,PMC co-delivery with EPI only
Benin,BEN,n_age_273_279,276,5,raw cases,0.550218561148405,0.0228443381032297,PMC co-delivery with EPI only
Benin,BEN,n_age_280_286,283,5,raw cases,0.559270635461254,0.0243343461934548,PMC co-delivery with EPI only
Benin,BEN,n_age_287_293,290,5,raw cases,0.598169157304898,0.025241077716277,PMC co-delivery with EPI only
Benin,BEN,n_age_294_300,297,5,raw cases,0.714496389310921,0.0311054707213382,PMC co-delivery with EPI only
Benin,BEN,n_age_301_307,304,5,raw cases,0.958598802241889,0.0400556599089771,PMC co-delivery with EPI only
