"","Admin-1","Clinical cases per 1000 (0-2.5 years)","Lower bound estimate (0-5 years)","Upper bound estimate (0-5 years)"
"1","Alibori",260,130,312
"2","Atakora",5959,2979,7151
"3","Atlantique",618,309,742
"4","Borgou",1618,809,1941
"5","Collines",1391,695,1669
"6","Donga",418,209,502
"7","Kouffo",1233,616,1479
"8","Littoral",232,116,278
"9","Mono",656,328,788
"10","Oueme",656,328,787
"11","Plateau",280,140,336
"12","Zou",472,236,566
