Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC
Central African Republic,CAF,n_age_476_482,479,4,raw cases,0.514685154,0.028870226
Central African Republic,CAF,n_age_483_489,486,4,raw cases,0.497959585,0.024372725
Central African Republic,CAF,n_age_490_496,493,4,raw cases,0.508503509,0.030945816
Central African Republic,CAF,n_age_497_503,500,4,raw cases,0.50990897,0.03258898
Central African Republic,CAF,n_age_504_510,507,4,raw cases,0.515096538,0.032165302
Central African Republic,CAF,n_age_511_517,514,4,raw cases,0.531844257,0.027371065
Central African Republic,CAF,n_age_518_524,521,4,raw cases,0.521983415,0.031273916
Central African Republic,CAF,n_age_525_531,528,4,raw cases,0.520485796,0.033009107
Central African Republic,CAF,n_age_532_538,535,4,raw cases,0.523619721,0.028265126
Central African Republic,CAF,n_age_539_545,542,4,raw cases,0.532298092,0.031078627
Central African Republic,CAF,n_age_546_552,549,4,raw cases,0.535924668,0.027554582
Central African Republic,CAF,n_age_553_559,556,4,raw cases,0.521589939,0.029963374
Central African Republic,CAF,n_age_560_566,563,4,raw cases,0.52928168,0.026893136
Central African Republic,CAF,n_age_567_573,570,4,raw cases,0.527936721,0.031531402
Central African Republic,CAF,n_age_574_580,577,4,raw cases,0.536308534,0.02962208
Central African Republic,CAF,n_age_581_587,584,4,raw cases,0.526267734,0.031308383
Central African Republic,CAF,n_age_588_594,591,4,raw cases,0.53100325,0.029310565
Central African Republic,CAF,n_age_595_601,598,4,raw cases,0.539549514,0.032534452
Central African Republic,CAF,n_age_602_608,605,4,raw cases,0.549888583,0.029893846
Central African Republic,CAF,n_age_609_615,612,4,raw cases,0.54868376,0.029115947
Central African Republic,CAF,n_age_616_622,619,4,raw cases,0.551337573,0.030172558
Central African Republic,CAF,n_age_623_629,626,4,raw cases,0.566112645,0.031504184
Central African Republic,CAF,n_age_630_636,633,4,raw cases,0.54830791,0.030846267
Central African Republic,CAF,n_age_637_643,640,4,raw cases,0.556943144,0.031522447
Central African Republic,CAF,n_age_644_650,647,4,raw cases,0.547616278,0.029857205
Central African Republic,CAF,n_age_651_657,654,4,raw cases,0.549897106,0.030675491
Central African Republic,CAF,n_age_658_664,661,4,raw cases,0.545634645,0.031903669
Central African Republic,CAF,n_age_665_671,668,4,raw cases,0.577554527,0.032201801
Central African Republic,CAF,n_age_672_678,675,4,raw cases,0.559557057,0.031186414
Central African Republic,CAF,n_age_679_685,682,4,raw cases,0.539839557,0.025954579
