Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction
Central African Republic,CAF,6-12mo,273.5,Bangui,raw cases,4,NA,NA,NA,NA,NA,NA,307.6650818,22.84760992,NA,NA,NA,NA,NA,NA
Central African Republic,CAF,12-18mo,456,Bangui,raw cases,4,NA,NA,NA,NA,NA,NA,410.6351305,27.29081337,NA,NA,NA,NA,NA,NA
Central African Republic,CAF,18-24mo,638.5,Bangui,raw cases,4,NA,NA,NA,NA,NA,NA,466.0658556,26.16020821,NA,NA,NA,NA,NA,NA
Central African Republic,CAF,24-30mo,821,Bangui,raw cases,4,NA,NA,NA,NA,NA,NA,494.4102305,23.63779371,NA,NA,NA,NA,NA,NA
Central African Republic,CAF,0-6mo,91,Basse_Kotto,raw cases,4,618.2879203,35.55292242,450.8129018,26.90317557,252.386331,14.53707642,184.3283451,11.0132939,167.4750185,8.649746847,68.05798593,3.523782524,27.08689803,24.32921476
Central African Republic,CAF,6-12mo,273.5,Basse_Kotto,raw cases,4,1690.991181,94.40894986,1414.940462,81.8878079,707.981017,39.49616338,592.1672678,34.25520776,276.0507188,12.52114195,115.8137492,5.240955628,16.32478761,13.26266416
Central African Republic,CAF,12-18mo,456,Basse_Kotto,raw cases,4,1961.403802,98.8705303,1857.240437,97.6090393,841.4776835,42.41732623,796.7932522,41.87160039,104.1633658,1.261490995,44.6844313,0.545725836,5.310653814,1.275901921
Central African Republic,CAF,18-24mo,638.5,Basse_Kotto,raw cases,4,2110.757492,86.70690911,1993.677798,85.95589785,923.2617916,37.91964931,872.0420911,37.59046308,117.0796943,0.751011256,51.2197005,0.329186229,5.546809368,0.866149265
Central African Republic,CAF,24-30mo,821,Basse_Kotto,raw cases,4,2202.421591,79.84398469,2099.330153,76.75566636,945.5362694,34.259512,901.3025353,32.93624131,103.0914387,3.088318327,44.23373418,1.323270691,4.680822194,3.867941134
Central African Republic,CAF,0-6mo,91,Haut_Mbomou,raw cases,4,78.71666368,4.750063389,57.4692317,3.620027999,119.980899,7.253938846,87.71864852,5.537268656,21.24743197,1.130035389,32.26225048,1.71667019,26.99229233,23.78990125
Central African Republic,CAF,6-12mo,273.5,Haut_Mbomou,raw cases,4,173.0458801,11.75796298,146.8007917,10.24199416,270.703581,18.39972704,229.5593689,16.02120089,26.24508839,1.515968818,41.14421214,2.378526145,15.16654912,12.8931246
Central African Republic,CAF,12-18mo,456,Haut_Mbomou,raw cases,4,212.4247568,16.48318513,199.4161201,15.44161068,340.7585858,26.43791115,319.8983683,24.76592314,13.00863675,1.041574445,20.86021746,1.671988018,6.123879789,6.319011992
Central African Republic,CAF,18-24mo,638.5,Haut_Mbomou,raw cases,4,227.4382745,15.24249731,214.4610228,14.50747385,372.1817773,24.92698765,350.9546087,23.72803252,12.97725167,0.735023465,21.22716865,1.198955132,5.705834561,4.82219842
Central African Republic,CAF,24-30mo,821,Haut_Mbomou,raw cases,4,246.6612266,12.29080577,232.7183657,11.61179166,396.1125848,19.72137807,373.7213358,18.63359946,13.94286094,0.67901411,22.39124901,1.087778611,5.652635854,5.524569522
Central African Republic,CAF,0-6mo,91,Haute_Kotto,raw cases,4,125.5117529,9.239864327,86.88210101,6.072190136,112.6074053,8.297353385,78.05457789,5.462514822,38.62965188,3.167674191,34.55282746,2.834838562,30.77771682,34.2826916
Central African Republic,CAF,6-12mo,273.5,Haute_Kotto,raw cases,4,254.4971735,20.22252765,211.4620444,16.53695653,234.4851664,18.63459758,194.7565649,15.23162936,43.03512909,3.685571122,39.72860153,3.402968213,16.90986524,18.22507643
Central African Republic,CAF,12-18mo,456,Haute_Kotto,raw cases,4,283.3415667,20.20821384,264.8452882,19.03342478,267.5625347,19.07771642,250.096954,17.96820478,18.49627854,1.17478906,17.46558074,1.109511644,6.527908614,5.813423536
Central African Republic,CAF,18-24mo,638.5,Haute_Kotto,raw cases,4,316.0073914,20.28223381,295.6000716,19.37265926,304.3059605,19.52435854,284.6543436,18.65056879,20.40731977,0.909574545,19.65161694,0.873789749,6.457861533,4.484587616
Central African Republic,CAF,24-30mo,821,Haute_Kotto,raw cases,4,351.6391222,19.34369093,328.3998375,18.19743664,332.172364,18.27518822,310.2207929,17.19099329,23.23928462,1.146254288,21.95157106,1.084194928,6.608845022,5.925726853
Central African Republic,CAF,0-6mo,91,Kemo,raw cases,4,374.0399026,18.35994929,244.1568022,12.88662294,344.7910567,16.92673235,225.4393389,11.89445853,129.8831003,5.473326351,119.3517178,5.032273813,34.7243969,29.81122803
Central African Republic,CAF,6-12mo,273.5,Kemo,raw cases,4,960.1767101,52.66157322,741.037419,43.85618244,907.7385838,49.74886231,700.3076887,41.41793694,219.1392911,8.805390782,207.4308951,8.330925372,22.82280843,16.7207135
Central African Republic,CAF,12-18mo,456,Kemo,raw cases,4,1088.352274,50.22423945,957.9681119,48.44963295,1055.072149,48.67446454,928.6730823,46.95860371,130.3841623,1.774606494,126.3990668,1.715860828,11.97995956,3.533366584
Central African Republic,CAF,18-24mo,638.5,Kemo,raw cases,4,1152.574969,46.95198224,1015.880424,42.57981372,1139.123651,46.38289458,1004.059348,42.06509192,136.6945449,4.372168515,135.0643028,4.317802657,11.85992657,9.311999848
