Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000
Central African Republic,CAF,n_age_189_195,192,Mambere_Kadei,raw cases,4,56.62744631,4.993396249,449.910865,39.673045,5.8495447,0.883282445,46.4752322,7.017769561,50.77790161,4.110113803,403.4356328,32.65527544
Central African Republic,CAF,n_age_196_202,199,Mambere_Kadei,raw cases,4,69.66977942,5.338345981,554.258368,42.469245,9.699529554,1.252149757,77.16466832,9.961485264,59.97024986,4.086196224,477.0936997,32.50775974
Central African Republic,CAF,n_age_203_209,206,Mambere_Kadei,raw cases,4,64.92500996,3.514530451,517.170617,27.995558,6.804213737,0.357733635,54.20005972,2.849584848,58.12079622,3.156796816,462.9705573,25.14597315
Central African Republic,CAF,n_age_210_216,213,Mambere_Kadei,raw cases,4,68.95344023,5.362434284,549.939736,42.768217,8.258343449,1.142967506,65.86460662,9.115763427,60.69509678,4.219466778,484.0751294,33.65245357
Central African Republic,CAF,n_age_217_223,220,Mambere_Kadei,raw cases,4,62.58748722,5.337844067,499.770385,42.623478,6.012157841,0.886734644,48.00797368,7.080707886,56.57532937,4.451109423,451.7624113,35.54277011
Central African Republic,CAF,n_age_224_230,227,Mambere_Kadei,raw cases,4,67.63821136,6.463064333,540.752311,51.670748,9.195408488,1.254337311,73.51522594,10.02814513,58.44280287,5.208727022,467.2370851,41.64260287
Central African Republic,CAF,n_age_231_237,234,Mambere_Kadei,raw cases,4,65.1780342,5.333729629,521.721414,42.694153,6.097332506,1.268172699,48.8064572,10.15116307,59.08070169,4.06555693,472.9149568,32.54298993
Central African Republic,CAF,n_age_238_244,241,Mambere_Kadei,raw cases,4,65.25341293,4.561238216,522.997717,36.557738,7.963130008,0.575788727,63.82346344,4.614872635,57.29028292,3.985449489,459.1742536,31.94286537
Central African Republic,CAF,n_age_245_251,248,Mambere_Kadei,raw cases,4,68.85519147,5.683892192,552.586645,45.615194,7.381198056,0.601532766,59.2366586,4.82750779,61.47399342,5.082359426,493.3499864,40.78768621
Central African Republic,CAF,n_age_252_258,255,Mambere_Kadei,raw cases,4,72.80539673,4.967499721,585.035328,39.91686,8.488526646,0.748054932,68.2104376,6.011073112,64.31687008,4.219444789,516.8248904,33.90578689
Central African Republic,CAF,n_age_259_265,262,Mambere_Kadei,raw cases,4,64.73694426,4.239090345,520.822998,34.104417,7.134875092,0.761337757,57.40164411,6.125130215,57.60206917,3.477752588,463.4213539,27.97928678
Central African Republic,CAF,n_age_266_272,269,Mambere_Kadei,raw cases,4,59.86952962,3.179782661,482.254628,25.613445,5.957919389,0.492857832,47.99159467,3.970015668,53.91161023,2.686924828,434.2630333,21.64342933
Central African Republic,CAF,n_age_273_279,276,Mambere_Kadei,raw cases,4,72.49763452,2.586814607,584.642505,20.860843,12.11552017,0.426578917,97.70316108,3.440059369,60.38211434,2.160235689,486.9393439,17.42078363
Central African Republic,CAF,n_age_280_286,283,Mambere_Kadei,raw cases,4,69.91290399,5.666626288,564.533421,45.756931,7.039231858,0.585430385,56.84046028,4.727239168,62.87367213,5.081195903,507.6929607,41.02969183
Central African Republic,CAF,n_age_287_293,290,Mambere_Kadei,raw cases,4,61.94012799,3.902459991,500.797775,31.552135,4.501181574,-0.287104122,36.39291345,-2.321291705,57.43894642,4.189564112,464.4048616,33.87342671
Central African Republic,CAF,n_age_294_300,297,Mambere_Kadei,raw cases,4,70.88907976,3.922621627,573.861087,31.754396,7.069723497,-0.042449826,57.23080656,-0.343639713,63.81935627,3.965071453,516.6302804,32.09803571
Central African Republic,CAF,n_age_301_307,304,Mambere_Kadei,raw cases,4,71.66010412,4.971564159,580.788474,40.293371,6.650481299,0.648693374,53.90060386,5.257508895,65.00962282,4.322870785,526.8878701,35.0358621
Central African Republic,CAF,n_age_308_314,311,Mambere_Kadei,raw cases,4,70.55385522,2.510702839,572.496523,20.372645,10.37855578,0.189656609,84.21491755,1.538934322,60.17529944,2.32104623,488.2816054,18.83371068
Central African Republic,CAF,n_age_315_321,318,Mambere_Kadei,raw cases,4,68.34087926,3.535633947,555.231279,28.725041,7.636751546,-0.036586958,62.04431922,-0.297248495,60.70412771,3.572220906,493.1869598,29.0222895
Central African Republic,CAF,n_age_322_328,325,Mambere_Kadei,raw cases,4,71.72898614,2.870768512,583.399596,23.349071,6.167640119,-0.418238067,50.16380333,-3.401692016,65.56134602,3.289006579,533.2357927,26.75076302
Central African Republic,CAF,n_age_329_335,332,Mambere_Kadei,raw cases,4,70.63904134,3.512716207,575.243434,28.605526,9.082403499,-0.444269475,73.96183299,-3.617873253,61.55663784,3.956985682,501.281601,32.22339925
Central African Republic,CAF,n_age_336_342,339,Mambere_Kadei,raw cases,4,74.98903475,3.827013878,611.408288,31.202802,10.99737182,-0.331949943,89.66489968,-2.706488319,63.99166293,4.158963822,521.7433883,33.90929032
Central African Republic,CAF,n_age_343_349,346,Mambere_Kadei,raw cases,4,77.08598619,5.228249228,629.331942,42.683559,9.975409312,0.687913716,81.43949406,5.616144982,67.11057688,4.540335512,547.8924479,37.06741402
Central African Republic,CAF,n_age_350_356,353,Mambere_Kadei,raw cases,4,89.21622762,6.427588693,729.335574,52.545027,11.96881053,0.651753779,97.84407533,5.328035375,77.24741709,5.775834914,631.4914987,47.21699162
Central African Republic,CAF,n_age_357_363,360,Mambere_Kadei,raw cases,4,63.7740016,4.927369242,521.984958,40.330112,3.576444673,0.485947447,29.2729055,3.977439889,60.19755692,4.441421795,492.7120525,36.35267211
Central African Republic,CAF,n_age_364_370,367,Mambere_Kadei,raw cases,4,78.01392187,6.070188117,639.2289,49.737785,7.952450814,0.899285874,65.16063113,7.368550458,70.06147106,5.170902244,574.0682689,42.36923454
Central African Republic,CAF,n_age_371_377,374,Mambere_Kadei,raw cases,4,69.90176968,4.972180452,573.203274,40.772503,5.728796198,0.625083319,46.97684696,5.12576157,64.17297349,4.347097134,526.226427,35.64674143
Central African Republic,CAF,n_age_378_384,381,Mambere_Kadei,raw cases,4,87.08284399,5.640138317,714.555297,46.279962,12.76851864,1.126188023,104.7716429,9.240897294,74.31432534,4.513950294,609.7836541,37.03906471
Central African Republic,CAF,n_age_385_391,388,Mambere_Kadei,raw cases,4,81.27802483,3.519587255,667.463672,28.90322,8.200133984,0.53050443,67.34036108,4.356558065,73.07789085,2.989082825,600.1233109,24.54666194
Central African Republic,CAF,n_age_392_398,395,Mambere_Kadei,raw cases,4,74.55772266,1.719505884,612.779609,14.132381,5.223581366,-0.94511446,42.93189267,-7.767765011,69.33414129,2.664620344,569.8477163,21.90014601
Central African Republic,CAF,n_age_399_405,402,Mambere_Kadei,raw cases,4,74.71231018,5.289168309,614.557536,43.506863,7.231701343,1.002487561,59.48546561,8.246114779,67.48060884,4.286680748,555.0720704,35.26074822
Central African Republic,CAF,n_age_406_412,409,Mambere_Kadei,raw cases,4,70.32738501,3.190952617,578.961923,26.269142,6.301676112,0.108081395,51.8778072,0.889767372,64.0257089,3.082871221,527.0841158,25.37937463
Central African Republic,CAF,n_age_413_419,416,Mambere_Kadei,raw cases,4,83.59266594,7.67815674,688.779893,63.265837,10.92857373,1.535298244,90.04835242,12.65042272,72.66409221,6.142858495,598.7315406,50.61541428
Central African Republic,CAF,n_age_420_426,423,Mambere_Kadei,raw cases,4,72.896638,4.802605187,601.112365,39.602723,4.179295295,0.31664354,34.46285244,2.611071684,68.7173427,4.485961647,566.6495126,36.99165132
Central African Republic,CAF,n_age_427_433,430,Mambere_Kadei,raw cases,4,75.18803254,3.856243599,620.503466,31.82438,4.878746813,0.511085918,40.26278125,4.217833245,70.30928573,3.345157682,580.2406847,27.60654676
Central African Republic,CAF,n_age_434_440,437,Mambere_Kadei,raw cases,4,86.26909585,5.878652279,712.465173,48.549657,9.592936692,1.101401684,79.22458481,9.096077032,76.67615915,4.777250595,633.2405882,39.45357997
Central African Republic,CAF,n_age_441_447,444,Mambere_Kadei,raw cases,4,81.83525941,5.936705606,676.319031,49.063289,10.44030114,-0.007971338,86.28278817,-0.065878294,71.39495827,5.944676943,590.0362428,49.12916729
Central African Republic,CAF,n_age_448_454,451,Mambere_Kadei,raw cases,4,75.78415728,6.029972326,626.713224,49.86614,7.761261821,0.360882702,64.18340709,2.984396343,68.02289546,5.669089623,562.5298169,46.88174366
Central African Republic,CAF,n_age_455_461,458,Mambere_Kadei,raw cases,4,74.3467459,4.148080901,615.295416,34.329615,7.089933606,-0.192921511,58.67645711,-1.596622958,67.2568123,4.341002412,556.6189589,35.92623796
Central African Republic,CAF,n_age_462_468,465,Mambere_Kadei,raw cases,4,85.92313049,6.402552596,711.629678,53.027007,7.79063951,0.765672445,64.52337402,6.34142672,78.13249098,5.636880151,647.106304,46.68558028
Central African Republic,CAF,n_age_469_475,472,Mambere_Kadei,raw cases,4,71.43847969,3.782714781,592.095432,31.351845,2.245411348,0.098134323,18.61038768,0.813355556,69.19306834,3.684580458,573.4850443,30.53848944
Central African Republic,CAF,n_age_476_482,479,Mambere_Kadei,raw cases,4,81.36295403,4.233450972,674.842688,35.113197,10.35876384,0.485944964,85.91792317,4.03053711,71.0041902,3.747506008,588.9247648,31.08265989
Central African Republic,CAF,n_age_483_489,486,Mambere_Kadei,raw cases,4,80.02741351,5.630211591,664.341667,46.738786,7.675107608,0.917069525,63.71433936,7.612984981,72.3523059,4.713142066,600.6273276,39.12580102
Central African Republic,CAF,n_age_490_496,493,Mambere_Kadei,raw cases,4,81.17135004,2.527298047,674.373369,20.996848,9.760163238,-0.621635825,81.08765176,-5.164564167,71.4111868,3.148933873,593.2857172,26.16141217
Central African Republic,CAF,n_age_497_503,500,Mambere_Kadei,raw cases,4,80.62934431,3.472691095,670.391009,28.873618,9.886875987,-0.032986543,82.2042251,-0.274265929,70.74246832,3.505677638,588.1867839,29.14788393
Central African Republic,CAF,n_age_504_510,507,Mambere_Kadei,raw cases,4,85.85634127,3.900803715,714.386081,32.457473,8.777099582,-0.569517004,73.03173744,-4.738788246,77.07924169,4.470320719,641.3543436,37.19626125
Central African Republic,CAF,n_age_511_517,514,Mambere_Kadei,raw cases,4,83.07560738,3.503378139,691.781354,29.173084,10.49054952,0.638458635,87.35616602,5.316527836,72.58505786,2.864919503,604.425188,23.85655616
Central African Republic,CAF,n_age_518_524,521,Mambere_Kadei,raw cases,4,91.30701011,6.560100114,760.904167,54.668393,8.547379596,0.725156136,71.22932559,6.043066408,82.75963051,5.834943978,689.6748414,48.62532659
Central African Republic,CAF,n_age_525_531,528,Mambere_Kadei,raw cases,4,82.58606181,5.337547966,688.721337,44.51215,7.816528721,-0.31534734,65.18545615,-2.629819571,74.76953309,5.652895306,623.5358808,47.14196957
Central African Republic,CAF,n_age_532_538,535,Mambere_Kadei,raw cases,4,79.61802239,4.143663635,664.476015,34.582184,7.310503181,0.223944916,61.01199045,1.868999267,72.30751921,3.919718719,603.4640246,32.71318473
Central African Republic,CAF,n_age_539_545,542,Mambere_Kadei,raw cases,4,87.30975888,3.778307298,729.193069,31.555642,8.851103876,0.353826631,73.92259104,2.955086929,78.458655,3.424480667,655.270478,28.60055507
Central African Republic,CAF,n_age_546_552,549,Mambere_Kadei,raw cases,4,85.92224838,3.526685265,718.192155,29.478252,11.47466392,0.64556063,95.91245297,5.396001491,74.44758446,2.881124634,622.279702,24.08225051
Central African Republic,CAF,n_age_553_559,556,Mambere_Kadei,raw cases,4,95.56046025,6.225178342,799.380783,52.074759,12.62979528,1.096153488,105.6505548,9.169525043,82.93066497,5.129024854,693.7302282,42.90523396
Central African Republic,CAF,n_age_560_566,563,Mambere_Kadei,raw cases,4,84.90166948,5.51587361,710.71971,46.173887,8.235377346,0.847367893,68.93910372,7.093394827,76.66629214,4.668505718,641.7806063,39.08049217
Central African Republic,CAF,n_age_567_573,570,Mambere_Kadei,raw cases,4,91.84834751,6.021935741,769.43286,50.447018,13.48702724,0.537087804,112.9836543,4.499297115,78.36132026,5.484847937,656.4492057,45.94772088
Central African Republic,CAF,n_age_574_580,577,Mambere_Kadei,raw cases,4,78.35564743,4.904979228,656.865155,41.119052,6.447128213,-0.113945675,54.04707908,-0.955220788,71.90851922,5.018924903,602.8180759,42.07427279
Central African Republic,CAF,n_age_581_587,584,Mambere_Kadei,raw cases,4,81.47121836,5.245412069,683.455126,44.003316,7.693944661,-0.137795066,64.54384779,-1.155951098,73.7772737,5.383207135,618.9112782,45.1592671
