,,,
,Modelled true clinical incidence in children aged 0-2.5 years,Incidence in children aged 0-5 years (compatible with modelled incidence in children aged 0-2.5 years),
Admin-1,Clinical cases per 1000,Lower bound estimate,Upper bound estimate
Adamaoua,971,485,1165
Centre,1123,561,1347
Est,1360,680,1632
Extreme Nord,358,179,429
Littoral,643,321,771
Nord,592,296,710
Nord Ouest,433,217,520
Ouest,621,311,745
Sud,1256,628,1507
Sud Ouest,953,476,1143
