Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,scenario,Scenario
Angola,AGO,0-6mo,91,Bengo,raw cases,5,563.707982728389,39.7915331613843,469.095608656769,32.8306141681622,97.5736992945452,6.8912339180607,81.2267852627415,5.68784696436424,94.6123740716199,6.96091899322213,16.3469140318037,1.20338695369646,16.7839336980273,17.4934676806506,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,6-12mo,273.5,Bengo,raw cases,5,872.302069415971,73.7435198483975,777.157440180806,65.4466998847389,154.532622488315,13.0633835499392,137.721453211315,11.5965560563154,95.1446292351651,8.29681996365866,16.811169277,1.46682749362381,10.9073029367988,11.2509139524603,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,12-18mo,456,Bengo,raw cases,5,1006.4138317027,75.8869719599791,970.480513050043,73.3842363969492,182.718293109249,13.7757115259729,176.180321369112,13.3202337714729,35.9333186526578,2.5027355630299,6.53797174013619,0.455477754500004,3.57043171712615,3.29797789843266,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,18-24mo,638.5,Bengo,raw cases,5,1102.33858748693,87.7619211586187,1102.33858748693,87.7619211586187,204.544787735696,16.2796412858367,204.544787735696,16.2796412858367,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,24-30mo,821,Bengo,raw cases,5,1232.35911442767,80.1482095347919,1232.35911442767,80.1482095347919,225.030583487721,14.6328286530523,225.030583487721,14.6328286530523,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-6mo,91,Benguela,raw cases,5,1905.08106273256,157.786673115272,1527.90536355172,131.526800814327,94.6015292843137,7.85658660802054,75.8956795612856,6.55255288496038,377.175699180836,26.2598723009449,18.7058497230281,1.30403372306016,19.7984068268377,16.6426427419258,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,6-12mo,273.5,Benguela,raw cases,5,2784.14330973522,227.975928715326,2503.4219733306,204.681677652798,141.587365727533,11.5900298809279,127.372090321624,10.4107253831637,280.721336404621,23.2942510625275,14.2152754059091,1.1793044977642,10.0828623089563,10.2178555401852,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,12-18mo,456,Benguela,raw cases,5,3401.19782475243,269.295011166166,3308.07230917896,262.864782887459,177.249847155432,14.0338630025588,172.386539873687,13.698051764683,93.1255155734634,6.43022827870783,4.86330728174525,0.335811237875712,2.73802114348471,2.3878007434531,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,18-24mo,638.5,Benguela,raw cases,5,3708.07332438548,266.679438354685,3708.07332438548,266.679438354685,197.496143080604,14.202910462363601,197.496143080604,14.202910462363601,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,24-30mo,821,Benguela,raw cases,5,4262.35719845001,276.864569761903,4262.35719845001,276.864569761903,223.259477144054,14.4988408219188,223.259477144054,14.4988408219188,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
