Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,scenario,Scenario
Angola,AGO,n_age_700_706,703,Zaire,raw cases,5,185.100740145996,8.57391172573552,652.553002447894,30.2264152749415,0,0,0,0,185.100740145996,8.57391172573552,652.553002447894,30.2264152749415,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_707_713,710,Zaire,raw cases,5,209.853144907962,13.9422962849366,740.41859691627,49.1921884592735,0,0,0,0,209.853144907962,13.9422962849366,740.41859691627,49.1921884592735,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_714_720,717,Zaire,raw cases,5,197.651665516751,10.9805337912951,697.961439057513,38.7752319038387,0,0,0,0,197.651665516751,10.9805337912951,697.961439057513,38.7752319038387,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_721_727,724,Zaire,raw cases,5,198.389222585693,12.0795891648661,701.142459641596,42.6913959746771,0,0,0,0,198.389222585693,12.0795891648661,701.142459641596,42.6913959746771,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_728_734,731,Zaire,raw cases,5,201.890211543764,12.1101059763072,714.08966129651,42.8336837569337,0,0,0,0,201.890211543764,12.1101059763072,714.08966129651,42.8336837569337,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_735_741,738,Zaire,raw cases,5,194.409843746699,6.60172000558831,688.146044948431,23.3678882928461,0,0,0,0,194.409843746699,6.60172000558831,688.146044948431,23.3678882928461,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_742_748,745,Zaire,raw cases,5,188.052453816927,11.682568914562,666.169567930197,41.3851121225201,0,0,0,0,188.052453816927,11.682568914562,666.169567930197,41.3851121225201,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_749_755,752,Zaire,raw cases,5,201.288075930189,9.38168579693762,713.594688464098,33.2594025880381,0,0,0,0,201.288075930189,9.38168579693762,713.594688464098,33.2594025880381,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_756_762,759,Zaire,raw cases,5,199.78271464406,7.85466756776759,708.831830339595,27.868468994874,0,0,0,0,199.78271464406,7.85466756776759,708.831830339595,27.868468994874,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_763_769,766,Zaire,raw cases,5,196.174544509043,6.00814212006337,696.562913184984,21.3332926983696,0,0,0,0,196.174544509043,6.00814212006337,696.562913184984,21.3332926983696,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_770_776,773,Zaire,raw cases,5,206.371747475732,10.8503998943378,733.31942811571,38.55570901864,0,0,0,0,206.371747475732,10.8503998943378,733.31942811571,38.55570901864,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_777_783,780,Zaire,raw cases,5,203.377733125305,13.7398859862407,723.183011410824,48.8571289062845,0,0,0,0,203.377733125305,13.7398859862407,723.183011410824,48.8571289062845,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_784_790,787,Zaire,raw cases,5,196.933303695808,8.58717168371535,700.774444321062,30.55689592371,0,0,0,0,196.933303695808,8.58717168371535,700.774444321062,30.55689592371,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_791_797,794,Zaire,raw cases,5,202.902993060025,11.7493184773833,722.524159057571,41.8385472010242,0,0,0,0,202.902993060025,11.7493184773833,722.524159057571,41.8385472010242,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_798_804,801,Zaire,raw cases,5,200.699026949903,9.97262093241992,715.224493790296,35.5390998479178,0,0,0,0,200.699026949903,9.97262093241992,715.224493790296,35.5390998479178,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_805_811,808,Zaire,raw cases,5,194.845103871297,7.9848293389662,694.901560213527,28.4773404896614,0,0,0,0,194.845103871297,7.9848293389662,694.901560213527,28.4773404896614,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_812_818,815,Zaire,raw cases,5,193.326504611058,10.2755846783985,690.002795697371,36.6746513613555,0,0,0,0,193.326504611058,10.2755846783985,690.002795697371,36.6746513613555,PMC co-delivery with EPI only,PMC co-delivery with EPI only
